,State,City,Pop,PCI,P total,price,rating,review,Total,Price perc
428,me,oxford,4101,33163,3,2.0,2.6666666666666665,8.333333333333334,6.0,0.5
429,me,lincoln,4908,44159,13,1.8461538461538463,3.923076923076923,9.153846153846153,62.0,0.20967741935483872
430,me,knox,792,42538,46,1.7608695652173914,3.847826086956522,13.152173913043478,194.0,0.23711340206185566
431,me,waldo,860,36097,9,1.7777777777777777,4.277777777777778,13.0,13.0,0.6923076923076923
432,me,washington,1512,35752,55,1.8727272727272728,3.981818181818182,13.981818181818182,269.0,0.20446096654275092
433,mi,macomb,90758,40077,17,1.8235294117647058,3.411764705882353,17.941176470588236,66.0,0.25757575757575757
434,mi,iosco,3847,32125,18,1.8333333333333333,3.8055555555555554,6.722222222222222,78.0,0.23076923076923078
435,mi,clinton,3538,39611,30,1.8333333333333333,3.35,16.1,92.0,0.32608695652173914
436,mi,ingham,2524,35503,80,1.7875,3.05,19.675,249.0,0.321285140562249
437,mi,huron,416,40869,20,1.65,3.425,5.15,79.0,0.25316455696202533
438,mi,schoolcraft,1798,34505,17,1.8823529411764706,3.4411764705882355,19.88235294117647,27.0,0.6296296296296297
439,mi,osceola,1841,31532,30,1.7333333333333334,3.4833333333333334,9.733333333333333,135.0,0.2222222222222222
440,mi,eaton,4132,36492,70,1.8428571428571427,3.2071428571428573,16.928571428571427,226.0,0.30973451327433627
441,mi,kalkaska,4897,31621,13,1.8461538461538463,3.6538461538461537,18.384615384615383,66.0,0.19696969696969696
442,mi,branch,1351,31693,1,2.0,2.0,7.0,8.0,0.125
443,mi,montcalm,3400,29737,53,1.849056603773585,3.1792452830188678,20.62264150943396,224.0,0.23660714285714285
444,mi,montmorency,1059,31075,19,1.6842105263157894,3.763157894736842,10.947368421052632,125.0,0.152
445,mi,ogemaw,1180,30350,30,1.6666666666666667,3.433333333333333,7.566666666666666,148.0,0.20270270270270271
446,mi,ontonagon,2220,33752,9,1.7777777777777777,4.0,8.0,14.0,0.6428571428571429
447,mi,livingston,2585,47921,150,1.8333333333333333,2.8666666666666667,20.32,489.0,0.3067484662576687
448,mi,roscommon,4324,31989,4,1.5,2.5,4.75,13.0,0.3076923076923077
449,mi,sanilac,2311,32829,13,1.6923076923076923,3.6538461538461537,7.076923076923077,69.0,0.18840579710144928
450,mi,antrim,2095,39601,51,1.8431372549019607,3.872549019607843,18.058823529411764,210.0,0.24285714285714285
451,mi,shiawassee,2734,33682,72,1.7916666666666667,3.0972222222222223,17.819444444444443,258.0,0.27906976744186046
