State,City,Pop,PCI,price,rating,review,Price perc
ga,macon,153095,28018,3.0,4.75,8.0,0.05405405405405406
ga,oconee,244,55452,3.1666666666666665,4.166666666666667,14.0,0.04054054054054054
ga,newton,579,29625,4.0,3.0,1.0,0.038461538461538464
ga,gordon,1882,30915,3.0,4.25,7.75,0.044444444444444446
ga,franklin,924,32534,3.4166666666666665,3.4583333333333335,8.333333333333334,0.00631578947368421
ga,forsyth,4117,54651,3.0,4.833333333333333,5.666666666666667,0.05
ga,douglas,11616,31349,3.0,2.5,16.0,0.03333333333333333
ga,decatur,25732,31946,3.0,4.0,61.0,0.00558659217877095
ga,dawson,4102,37402,4.0,3.0,1.0,0.02857142857142857
ga,crawford,832,29600,3.2,4.3,9.6,0.053763440860215055
ga,colquitt,1824,27507,4.0,3.0,1.0,0.010869565217391304
ga,cobb,346,48253,4.0,3.0,1.0,0.08333333333333333
ga,clayton,2183,25550,3.1666666666666665,3.4166666666666665,10.5,0.02142857142857143
ga,calhoun,16966,21655,4.0,5.0,3.0,0.1
ga,brooks,555,31146,3.0,3.8333333333333335,7.333333333333333,0.03333333333333333
ga,bartow,256,33267,3.25,3.75,9.666666666666666,0.02072538860103627
ga,baldwin,3384,29192,3.25,3.375,8.5,0.05263157894736842
hi,honolulu,347397,50988,3.1176470588235294,4.294117647058823,71.94117647058823,0.017
ia,hamilton,133,50618,3.142857142857143,3.4285714285714284,7.285714285714286,0.05343511450381679
ia,greene,1068,48116,3.0,4.25,8.5,0.05405405405405406
ia,franklin,134,50235,4.0,4.5,8.0,0.0625
ia,floyd,318,41127,3.5,3.0,9.5,0.08
ia,hancock,195,50657,3.230769230769231,3.769230769230769,14.846153846153847,0.039634146341463415
ia,fayette,1374,39680,3.0,4.25,8.5,0.05
ia,des moines,216853,46007,3.25,3.875,8.5,0.03686635944700461
ia,delaware,151,44837,3.3333333333333335,4.0,11.333333333333334,0.025
ia,clinton,25184,39659,3.0,3.875,9.5,0.07692307692307693
ia,clayton,39,44107,3.0,4.0,18.0,0.02127659574468085
ia,cherokee,4900,55347,3.0,3.75,4.5,0.11764705882352941
ia,muscatine,23817,42450,3.0,4.75,4.5,0.4
ia,webster,71,42161,3.25,4.1875,15.625,0.03940886699507389
ia,washington,7309,51235,4.0,4.5,8.0,0.14285714285714285
ia,wapello,2026,34477,3.1,4.35,13.1,0.04975124378109453
ia,union,382,37907,4.0,5.0,3.0,0.16666666666666666
ia,tama,2745,40729,3.3333333333333335,4.5,6.666666666666667,0.058823529411764705
ia,shelby,616,50283,3.076923076923077,4.076923076923077,14.538461538461538,0.03571428571428571
ia,jefferson,4148,37397,3.125,3.6875,9.625,0.031496062992125984
ia,osceola,5193,57030,3.25,3.8125,8.125,0.0427807486631016
ia,monroe,1874,38175,3.2222222222222223,3.888888888888889,7.333333333333333,0.03202846975088968
ia,mitchell,131,57565,4.0,2.5,5.0,0.05263157894736842
ia,marshall,27068,38463,3.1666666666666665,3.6666666666666665,7.0,0.043010752688172046
ia,marion,39979,40851,3.0,4.5,13.0,0.027777777777777776
ia,lucas,209,37890,3.25,3.8125,9.625,0.0425531914893617
ia,plymouth,363,52006,4.0,2.5,5.0,0.14285714285714285
id,boise,228790,36229,3.0,4.4375,22.875,0.0215633423180593
id,twin falls,49764,35300,3.0,3.75,7.0,0.10526315789473684
id,jerome,11807,37126,3.0,3.75,7.0,0.08695652173913043
id,payette,7527,35582,3.076923076923077,3.8846153846153846,12.153846153846153,0.030805687203791468
id,gooding,3473,58373,3.0,3.75,7.0,0.06666666666666667
id,shoshone,1511,33851,3.0,3.75,7.0,0.06060606060606061
id,teton,733,31214,3.5,2.625,10.5,0.23529411764705882
id,minidoka,113,35533,3.0,1.0,1.0,0.25
il,scott,1235,37014,3.3333333333333335,2.6666666666666665,8.666666666666666,0.06521739130434782
il,franklin,2473,34652,3.0,3.5,12.5,0.0392156862745098
il,union,677,37679,3.3333333333333335,3.7666666666666666,19.6,0.02982107355864811
il,montgomery,637,33349,3.0,4.5,19.0,0.009174311926605505
il,morgan,345,36602,3.3333333333333335,2.6666666666666665,8.666666666666666,0.04838709677419355
il,lake,941,68199,3.0,3.973684210526316,72.05263157894737,0.0033928571428571428
