,State,City,Pop,PCI,P total,price,rating,review,Total,Price perc
0,ak,sitka city and borough,8647,66157,1,2.0,3.5,3.0,3.0,0.3333333333333333
1,ak,juneau city and borough,32113,62774,3,2.0,3.8333333333333335,7.333333333333333,17.0,0.17647058823529413
2,ak,anchorage municipality,291538,61425,30,2.0,4.116666666666666,21.133333333333333,200.0,0.15
3,al,tuscaloosa,101113,35365,8,1.875,4.0,17.375,48.0,0.16666666666666666
4,al,talladega,15291,30917,58,1.9137931034482758,4.017241379310345,14.431034482758621,310.0,0.1870967741935484
5,al,butler,1739,32862,4,2.0,3.875,4.25,11.0,0.36363636363636365
6,al,mobile,189572,34661,29,1.793103448275862,3.9310344827586206,9.551724137931034,143.0,0.20279720279720279
7,al,cherokee,1004,31688,6,1.8333333333333333,4.666666666666667,3.0,44.0,0.13636363636363635
8,al,clay,9646,29443,10,2.0,3.95,10.3,23.0,0.43478260869565216
9,al,montgomery,198218,39060,26,1.9615384615384615,3.8461538461538463,9.73076923076923,78.0,0.3333333333333333
10,al,elmore,1441,36665,8,2.0,3.4375,9.0,14.0,0.5714285714285714
11,al,fayette,4327,30747,4,2.0,4.25,7.5,64.0,0.0625
12,al,cullman,15858,35144,2,2.0,4.0,3.5,8.0,0.25
13,al,geneva,4335,30997,11,2.0,3.8181818181818183,11.363636363636363,22.0,0.5
14,al,jackson,4742,32986,3,2.0,3.8333333333333335,28.0,5.0,0.6
15,al,madison,50440,45274,15,1.8666666666666667,3.7,11.466666666666667,121.0,0.12396694214876033
16,al,marion,3252,29422,19,1.631578947368421,2.973684210526316,9.789473684210526,75.0,0.25333333333333335
17,al,franklin,126,30044,33,1.9393939393939394,3.772727272727273,10.151515151515152,145.0,0.22758620689655173
18,ar,lonoke,4262,35564,7,2.0,4.214285714285714,5.857142857142857,63.0,0.1111111111111111
19,ar,washington,167,35135,8,1.875,3.1875,3.25,10.0,0.8
20,ar,van buren,23691,29374,2,1.5,5.0,2.0,12.0,0.16666666666666666
21,ar,searcy,23768,26785,3,2.0,3.6666666666666665,2.3333333333333335,9.0,0.3333333333333333
22,ar,perry,274,31447,14,1.9285714285714286,4.214285714285714,7.285714285714286,107.0,0.1308411214953271
23,ar,madison,696,32411,23,1.9565217391304348,4.065217391304348,25.347826086956523,97.0,0.23711340206185566
24,ar,lincoln,2474,24404,19,1.8421052631578947,4.2105263157894735,9.842105263157896,93.0,0.20430107526881722
25,ar,marion,12364,27465,10,1.8,4.0,20.1,32.0,0.3125
26,ar,garland,239,35645,34,1.9411764705882353,4.147058823529412,21.352941176470587,204.0,0.16666666666666666
27,ar,benton,36403,74292,3,1.6666666666666667,3.1666666666666665,3.3333333333333335,16.0,0.1875
28,ar,bradley,528,34423,21,1.8571428571428572,3.642857142857143,8.857142857142858,105.0,0.2
29,ar,conway,66426,36965,10,1.8,4.15,7.5,31.0,0.3225806451612903
30,ar,johnson,3736,27625,9,1.8888888888888888,4.5,17.22222222222222,36.0,0.25
31,ar,franklin,191,31801,1,2.0,4.5,5.0,10.0,0.1
32,ar,fulton,194,26383,14,1.9285714285714286,3.4285714285714284,5.142857142857143,23.0,0.6086956521739131
33,az,pima,2512,38031,2,1.5,4.75,5.5,4.0,0.5
34,az,maricopa,50024,41197,11,2.0,3.6363636363636362,57.54545454545455,37.0,0.2972972972972973
35,ca,tulare,64475,37121,24,1.9166666666666667,3.9583333333333335,33.5,96.0,0.25
36,ca,san diego,1425976,52214,108,1.7962962962962963,4.518518518518518,121.93518518518519,4100.0,0.026341463414634145
37,ca,sonoma,11248,51565,24,2.0,4.645833333333333,35.0,109.0,0.22018348623853212
38,ca,santa cruz,64725,56549,61,1.8852459016393444,4.524590163934426,59.622950819672134,362.0,0.1685082872928177
39,ca,santa clara,129488,79055,99,1.797979797979798,4.328282828282828,96.43434343434343,1300.0,0.07615384615384616
40,ca,santa barbara,91350,53758,73,1.917808219178082,4.287671232876712,55.67123287671233,336.0,0.21726190476190477
41,ca,san mateo,105025,93765,127,1.889763779527559,4.334645669291339,93.74803149606299,669.0,0.1898355754857997
42,ca,san luis obispo,47446,48532,37,1.837837837837838,4.513513513513513,51.810810810810814,135.0,0.2740740740740741
43,ca,san joaquin,4032,37643,3,2.0,4.0,24.666666666666668,6.0,0.5
44,ca,san francisco,883305,99990,111,1.9009009009009008,4.414414414414415,128.33333333333334,3500.0,0.031714285714285716
45,ca,ventura,111128,53031,122,1.860655737704918,4.163934426229508,45.114754098360656,454.0,0.2687224669603524
46,ca,tehama,421,36005,44,1.8409090909090908,4.136363636363637,30.795454545454547,182.0,0.24175824175824176
47,ca,sacramento,508529,45187,106,1.8396226415094339,4.400943396226415,67.4622641509434,2300.0,0.04608695652173913
48,ca,riverside,330063,34753,111,1.8198198198198199,4.36936936936937,79.30630630630631,3000.0,0.037
49,ca,alameda,78338,59085,84,1.8214285714285714,4.410714285714286,97.69047619047619,950.0,0.08842105263157894
50,ca,san bernardino,215941,34320,127,1.8267716535433072,3.7913385826771653,64.28346456692914,571.0,0.2224168126094571
51,ca,fresno,530093,37434,124,1.8548387096774193,3.6733870967741935,48.53225806451613,487.0,0.2546201232032854
52,ca,imperial,17695,32890,5,2.0,4.1,19.4,10.0,0.5
53,ca,los angeles,3990456,52233,127,1.8346456692913387,4.440944881889764,206.748031496063,11900.0,0.010672268907563025
54,ca,colusa,5911,41877,3,1.6666666666666667,3.8333333333333335,6.0,5.0,0.6
55,ca,merced,83316,35361,5,1.6,4.3,17.6,55.0,0.09090909090909091
