,State,City,Pop,PCI,P total,price,rating,review,Total,Price perc
61,hi,honolulu,347397,50988,10,3.1,4.1,592.4,2700.0,0.003703703703703704
62,ia,franklin,134,50235,1,3.0,4.0,18.0,33.0,0.030303030303030304
63,ia,des moines,216853,46007,5,3.0,4.1,140.8,1000.0,0.005
64,ia,dubuque,57941,42870,3,3.0,4.333333333333333,125.0,180.0,0.016666666666666666
65,ia,keokuk,10274,42783,1,4.0,2.5,14.0,21.0,0.047619047619047616
66,ia,tama,2745,40729,1,3.0,4.0,1.0,9.0,0.1111111111111111
67,ia,marion,39979,40851,1,3.0,3.0,37.0,306.0,0.0032679738562091504
68,ia,plymouth,363,52006,1,3.0,3.5,16.0,117.0,0.008547008547008548
69,id,boise,228790,36229,8,3.125,4.25,296.5,931.0,0.008592910848549946
70,id,shoshone,1511,33851,1,3.0,4.0,54.0,342.0,0.0029239766081871343
71,id,teton,733,31214,1,3.0,4.5,38.0,102.0,0.00980392156862745
72,il,franklin,2473,34652,2,3.5,3.0,33.0,347.0,0.005763688760806916
73,il,montgomery,637,33349,1,3.0,3.5,24.0,296.0,0.0033783783783783786
74,il,morgan,345,36602,1,3.0,3.5,3.0,42.0,0.023809523809523808
75,il,lake,941,68199,15,3.1333333333333333,4.3,1269.9333333333334,15400.0,0.000974025974025974
76,il,champaign,88029,42659,1,3.0,4.0,227.0,389.0,0.002570694087403599
77,il,dekalb,42611,35809,1,3.0,4.0,122.0,132.0,0.007575757575757576
78,il,hamilton,2740,41048,1,4.0,2.5,14.0,28.0,0.03571428571428571
79,il,macon,1120,44811,1,4.0,2.0,5.0,252.0,0.003968253968253968
80,il,madison,3794,40943,13,3.3076923076923075,4.0,174.84615384615384,1800.0,0.007222222222222222
81,il,douglas,157,45461,9,3.2222222222222223,3.5555555555555554,286.6666666666667,629.0,0.014308426073131956
82,il,peoria,111388,46148,5,3.0,3.8,67.2,505.0,0.009900990099009901
83,il,rock island,37678,39842,4,3.0,3.75,83.5,409.0,0.009779951100244499
84,il,lasalle,9064,39378,1,3.0,4.0,40.0,139.0,0.007194244604316547
85,il,marion,17620,38112,1,3.0,4.0,27.0,92.0,0.010869565217391304
86,il,wayne,66483,40354,8,3.0,3.8125,231.875,1500.0,0.005333333333333333
87,il,de witt,461,48628,1,4.0,2.0,5.0,327.0,0.0030581039755351682
88,il,cass,601,38103,1,3.0,3.5,3.0,93.0,0.010752688172043012
89,il,pope,214,26405,4,3.0,3.625,13.5,215.0,0.018604651162790697
90,il,edgar,449,37073,2,3.0,4.25,10.0,22.0,0.09090909090909091
91,il,will,1805,45465,2,3.0,3.5,228.0,227.0,0.00881057268722467
92,il,jefferson,255,35726,1,3.0,4.0,74.0,61.0,0.01639344262295082
93,il,greene,1543,34501,1,3.0,4.5,2.0,7.0,0.14285714285714285
94,il,sangamon,2333,43441,4,3.25,3.125,39.25,373.0,0.010723860589812333
95,in,vigo,3964,34509,4,3.0,3.875,44.0,192.0,0.020833333333333332
96,in,steuben,2859,36506,2,3.0,3.5,21.5,64.0,0.03125
97,in,floyd,4051,47171,1,3.0,4.0,1.0,227.0,0.004405286343612335
98,in,porter,4825,45101,1,3.0,2.5,7.0,87.0,0.011494252873563218
99,in,marion,28047,46320,1,4.0,4.0,5.0,76.0,0.013157894736842105
100,in,lawrence,49046,34913,4,3.0,4.25,396.5,1700.0,0.002352941176470588
101,in,hamilton,1580,64213,2,3.0,3.5,7.0,253.0,0.007905138339920948
102,in,fulton,318,36386,3,3.0,3.5,37.0,173.0,0.017341040462427744
103,in,elkhart,52367,38511,4,3.5,4.0,57.75,326.0,0.012269938650306749
104,in,brown,2647,40633,4,3.25,3.625,479.75,1400.0,0.002857142857142857
105,in,cass,338,34954,1,3.0,3.5,16.0,51.0,0.0196078431372549
106,in,benton,3128,39432,1,3.0,3.5,52.0,295.0,0.003389830508474576
107,in,miami,1273,31354,19,3.210526315789474,3.8421052631578947,517.578947368421,3300.0,0.005757575757575757
108,in,jackson,532,38888,1,3.0,3.0,2.0,13.0,0.07692307692307693
109,in,lake,2433,38485,3,3.0,4.166666666666667,211.66666666666666,315.0,0.009523809523809525
110,in,clay,3540,33864,3,3.0,4.0,337.3333333333333,122.0,0.02459016393442623
111,in,st. joseph,75633,41274,2,3.0,4.0,116.5,302.0,0.006622516556291391
112,in,ohio,1930,35220,2,3.0,4.0,110.5,481.0,0.004158004158004158
113,ks,sheridan,212,52677,1,3.0,3.5,3.0,17.0,0.058823529411764705
114,ks,pottawatomie,197,48438,1,3.0,4.5,23.0,161.0,0.006211180124223602
115,ks,comanche,438,38696,1,3.0,4.5,6.0,125.0,0.008
116,ks,douglas,108,37883,5,3.0,3.8,78.6,953.0,0.005246589716684155
117,ks,wabaunsee,521,45431,1,3.0,4.5,23.0,168.0,0.005952380952380952
118,ks,sumner,157,36574,1,3.0,4.5,7.0,17.0,0.058823529411764705
119,ks,reno,1506,36148,1,3.0,4.5,3.0,118.0,0.00847457627118644
120,ks,kiowa,941,31897,1,3.0,4.5,6.0,26.0,0.038461538461538464
121,ks,allen,174,36328,3,3.3333333333333335,4.333333333333333,41.0,629.0,0.0047694753577106515
122,ks,wichita,389255,83074,5,3.0,3.7,135.4,800.0,0.00625
123,ks,shawnee,65845,41498,11,3.0,4.2272727272727275,188.1818181818182,1900.0,0.005789473684210527
124,ks,sedgwick,1641,50815,1,3.0,5.0,22.0,84.0,0.011904761904761904
125,ks,meade,1565,55983,1,3.0,1.0,2.0,11.0,0.09090909090909091
126,ks,osborne,1291,42878,1,3.0,4.0,8.0,146.0,0.00684931506849315
127,ky,union,5930,33296,3,3.0,3.1666666666666665,111.33333333333333,583.0,0.005145797598627788
128,ky,jefferson,27997,44719,11,3.090909090909091,4.045454545454546,208.63636363636363,1300.0,0.008461538461538461
129,ky,henderson,28432,36154,2,3.0,4.0,49.0,421.0,0.004750593824228029
130,ky,hardin,610,38575,3,3.0,4.0,8.333333333333334,356.0,0.008426966292134831
131,ky,carlisle,1959,42485,1,3.0,4.0,287.0,231.0,0.004329004329004329
132,la,lafayette,126143,53215,5,3.0,3.6,30.8,626.0,0.007987220447284345
133,la,jackson,3725,32037,1,3.0,3.5,15.0,163.0,0.006134969325153374
134,la,franklin,6786,27693,1,3.0,4.0,8.0,19.0,0.05263157894736842
135,la,natchitoches,17831,33525,1,3.0,4.0,56.0,62.0,0.016129032258064516
136,ma,essex,3789,57540,1,3.0,3.5,3.0,19.0,0.05263157894736842
137,ma,plymouth,60803,56571,3,3.3333333333333335,3.3333333333333335,194.66666666666666,260.0,0.011538461538461539
138,ma,hampden,5220,44760,5,3.0,3.9,80.2,654.0,0.00764525993883792
139,ma,worcester,185877,49121,4,3.0,3.875,223.5,807.0,0.004956629491945477
140,ma,nantucket,11327,106895,14,3.2857142857142856,3.75,102.07142857142857,84.0,0.16666666666666666
141,md,baltimore,602495,53832,13,3.076923076923077,3.8846153846153846,463.46153846153845,3300.0,0.00393939393939394
142,md,frederick,72146,53601,2,3.0,4.0,373.0,412.0,0.0048543689320388345
143,md,somerset,1280,29709,2,3.5,4.25,164.0,37.0,0.05405405405405406
144,me,york,13151,44437,9,3.0,3.6666666666666665,180.66666666666666,377.0,0.023872679045092837
145,me,cumberland,8165,51659,9,3.111111111111111,3.7222222222222223,154.77777777777777,315.0,0.02857142857142857
146,me,franklin,1547,35108,2,3.0,4.5,30.0,57.0,0.03508771929824561
147,me,hancock,2415,44349,5,3.0,3.9,63.8,139.0,0.03597122302158273
148,me,oxford,4101,33163,1,3.0,4.0,22.0,54.0,0.018518518518518517
149,me,knox,792,42538,1,3.0,4.5,35.0,18.0,0.05555555555555555
150,me,waldo,860,36097,1,3.0,4.5,35.0,45.0,0.022222222222222223
151,mi,macomb,90758,40077,2,3.0,3.0,77.5,1200.0,0.0016666666666666668
152,mi,iosco,3847,32125,1,3.0,4.0,5.0,174.0,0.005747126436781609
153,mi,leelanau,2025,61797,6,3.1666666666666665,4.416666666666667,132.66666666666666,389.0,0.015424164524421594
154,mi,ingham,2524,35503,1,3.0,3.5,32.0,63.0,0.015873015873015872
155,mi,antrim,2095,39601,1,3.0,3.5,33.0,21.0,0.047619047619047616
156,mi,chippewa,211,29311,1,3.0,3.5,22.0,60.0,0.016666666666666666
157,mi,charlevoix,2499,43027,2,3.0,4.0,113.0,32.0,0.0625
158,mi,berrien,5027,40046,5,3.2,3.9,65.8,2600.0,0.0019230769230769232
159,mi,cheboygan,4712,33728,1,3.0,4.0,19.0,26.0,0.038461538461538464
160,mi,hillsdale,8049,31050,1,3.0,4.5,38.0,38.0,0.02631578947368421
161,mi,kalamazoo,76545,41547,2,3.5,3.25,35.0,488.0,0.004098360655737705
162,mi,marquette,20680,35194,1,4.0,3.5,83.0,79.0,0.012658227848101266
163,mi,menominee,8108,37545,1,3.0,4.5,49.0,65.0,0.015384615384615385
164,mi,alcona,913,32714,2,3.0,4.0,18.0,164.0,0.012195121951219513
165,mi,baraga,3595,29722,1,3.0,3.5,6.0,15.0,0.06666666666666667
166,mi,saginaw,48323,34086,1,3.0,3.5,8.0,280.0,0.0035714285714285713
167,mi,monroe,19715,39996,1,4.0,4.5,7.0,120.0,0.008333333333333333
168,mn,douglas,755,47165,4,3.0,4.125,91.5,269.0,0.01486988847583643
169,mn,crow wing,2092,39815,2,3.0,4.5,17.5,77.0,0.025974025974025976
170,mn,clay,75,39771,2,3.0,3.75,155.5,418.0,0.004784688995215311
171,mn,kanabec,932,36612,1,3.0,1.5,6.0,16.0,0.0625
172,mn,washington,739,57716,4,3.25,4.0,82.75,400.0,0.01
173,mn,sibley,252,43743,8,3.0,4.0,204.375,1300.0,0.006153846153846154
174,mn,scott,145,51927,1,3.0,3.5,40.0,37.0,0.02702702702702703
175,mn,winona,26813,43901,1,3.0,3.5,26.0,62.0,0.016129032258064516
176,mn,anoka,17543,44544,5,3.2,3.4,16.4,588.0,0.008503401360544218
177,mn,beltrami,102,36353,4,3.0,3.625,24.75,185.0,0.021621621621621623
178,mn,cottonwood,1245,45729,2,4.0,3.75,14.5,157.0,0.012738853503184714
179,mn,dakota,308,52542,4,3.25,4.125,95.0,218.0,0.01834862385321101
180,mn,freeborn,276,39340,1,3.0,3.5,5.0,68.0,0.014705882352941176
181,mn,grant,4152,47075,7,3.0,4.142857142857143,117.28571428571429,799.0,0.008760951188986232
182,mo,osage,1714,42259,2,3.0,4.25,35.5,175.0,0.011428571428571429
183,mo,st. louis,302838,61078,14,3.142857142857143,4.178571428571429,222.42857142857142,1600.0,0.00875
184,mo,st. charles,70764,46189,10,3.0,3.95,138.6,1300.0,0.007692307692307693
185,mo,marion,222,36467,1,3.0,3.0,30.0,140.0,0.007142857142857143
186,mo,jefferson,502,36892,1,3.0,3.0,30.0,152.0,0.006578947368421052
187,mo,cape girardeau,39853,39642,2,3.0,4.5,53.0,143.0,0.013986013986013986
188,mo,jasper,965,35333,2,3.5,4.0,12.5,363.0,0.005509641873278237
189,mo,holt,475,46764,1,3.0,5.0,6.0,70.0,0.014285714285714285
190,ms,grenada,12466,31056,1,3.0,3.5,14.0,38.0,0.02631578947368421
191,ms,jackson,164422,34845,2,3.0,4.5,55.0,786.0,0.002544529262086514
192,ms,tunica,916,30581,1,3.0,4.0,38.0,32.0,0.03125
193,mt,missoula,74428,40858,1,3.0,4.5,3.0,230.0,0.004347826086956522
194,mt,sheridan,750,57613,1,3.0,5.0,20.0,9.0,0.1111111111111111
195,mt,cascade,685,41893,1,3.0,4.0,19.0,165.0,0.006060606060606061
196,nc,rockingham,8776,33261,1,3.0,4.5,3.0,51.0,0.0196078431372549
197,nc,beaufort,4391,37538,4,3.25,4.5,107.25,75.0,0.05333333333333334
198,nc,cleveland,881,32809,1,3.0,4.0,490.0,325.0,0.003076923076923077
199,nc,davidson,12921,34484,6,3.3333333333333335,3.8333333333333335,118.5,851.0,0.007050528789659225
200,nc,durham,274291,43817,6,3.0,3.5833333333333335,118.16666666666667,745.0,0.008053691275167786
201,nc,franklin,4042,31256,1,4.0,3.5,21.0,60.0,0.016666666666666666
202,nd,williams,15,102808,1,4.0,2.5,9.0,89.0,0.011235955056179775
203,nd,steele,710,59264,1,4.0,1.0,1.0,16.0,0.0625
204,nd,renville,31,55901,1,3.0,4.0,6.0,127.0,0.007874015748031496
205,nd,richland,18,43573,1,3.0,3.0,38.0,177.0,0.005649717514124294
206,nd,oliver,10,46166,1,3.0,4.0,42.0,199.0,0.005025125628140704
207,nd,grant,105,40458,3,3.0,3.8333333333333335,76.0,177.0,0.01694915254237288
208,nd,mountrail,32,72079,2,3.0,3.25,9.0,33.0,0.06060606060606061
209,nd,burke,41,87338,1,3.0,4.0,6.0,37.0,0.02702702702702703
210,nd,ward,54,58394,1,3.0,4.0,6.0,143.0,0.006993006993006993
211,nd,billings,12,94629,3,3.0,4.0,29.333333333333332,71.0,0.04225352112676056
212,nd,barnes,21,49276,1,3.0,4.5,102.0,168.0,0.005952380952380952
213,nd,morton,45,50815,3,3.0,3.8333333333333335,64.66666666666667,178.0,0.016853932584269662
214,nd,mckenzie,99,81696,3,3.0,3.8333333333333335,76.0,182.0,0.016483516483516484
215,nd,grand forks,56948,46131,3,3.0,3.6666666666666665,29.666666666666668,128.0,0.0234375
216,nd,logan,37,53088,1,3.0,4.0,96.0,108.0,0.009259259259259259
217,ne,franklin,942,42262,1,3.0,4.0,31.0,15.0,0.06666666666666667
218,ne,lincoln,287401,46012,3,3.0,3.6666666666666665,59.333333333333336,581.0,0.0051635111876075735
219,ne,blaine,193,76590,1,4.0,4.0,4.0,19.0,0.05263157894736842
220,ne,logan,71,52193,1,4.0,4.0,4.0,89.0,0.011235955056179775
221,ne,dawes,352,36465,1,3.0,4.5,9.0,24.0,0.041666666666666664
222,ne,douglas,202,57890,2,3.0,3.75,105.5,607.0,0.0032948929159802307
223,ne,custer,103,50971,1,4.0,4.0,4.0,13.0,0.07692307692307693
224,nh,sullivan,675,45755,1,3.0,4.5,127.0,89.0,0.011235955056179775
225,nh,carroll,742,50020,1,4.0,4.0,25.0,27.0,0.037037037037037035
226,nh,grafton,1336,52320,1,4.0,5.0,27.0,15.0,0.06666666666666667
227,nh,merrimack,25969,51831,4,3.0,3.75,151.0,742.0,0.005390835579514825
228,nj,warren,15745,49188,4,3.0,3.25,143.5,563.0,0.007104795737122558
229,nj,ocean,26708,44949,10,3.1,3.8,132.8,571.0,0.017513134851138354
230,nj,union,5525,59230,16,3.1875,3.90625,176.5,1700.0,0.009411764705882352
231,nj,burlington,9884,53760,1,3.0,3.5,67.0,369.0,0.0027100271002710027
232,nj,morris,19145,84260,6,3.1666666666666665,3.9166666666666665,310.0,592.0,0.010135135135135136
233,nj,cape may,3448,51473,9,3.111111111111111,3.888888888888889,184.33333333333334,343.0,0.026239067055393587
234,nj,camden,73973,46905,25,3.04,4.18,408.52,3200.0,0.0078125
235,nj,passaic,69948,45746,2,3.5,3.5,51.0,681.0,0.002936857562408223
236,nj,gloucester,63884,47392,18,3.1666666666666665,4.083333333333333,243.77777777777777,2300.0,0.00782608695652174
237,nm,santa fe,84612,50557,9,3.111111111111111,3.9444444444444446,193.44444444444446,373.0,0.024128686327077747
238,nm,taos,5971,33342,2,3.0,3.75,118.0,94.0,0.02127659574468085
239,nv,carson city,55414,42537,1,3.0,4.0,40.0,186.0,0.005376344086021506
240,ny,lewis,1306,41061,2,3.0,4.5,3.0,16.0,0.125
241,ny,putnam,576,57163,3,3.0,3.8333333333333335,194.0,188.0,0.015957446808510637
242,ny,columbia,1517,48801,2,3.0,3.75,173.5,1000.0,0.002
243,ny,essex,636,39500,2,3.0,4.5,37.0,71.0,0.028169014084507043
244,ny,washington,4613,35304,6,3.0,3.9166666666666665,75.83333333333333,127.0,0.047244094488188976
245,ny,franklin,2257,33508,1,3.0,4.0,5.0,190.0,0.005263157894736842
246,ny,livingston,3473,36686,4,3.25,3.75,129.75,211.0,0.018957345971563982
247,ny,greene,5084,41786,1,4.0,4.5,14.0,9.0,0.1111111111111111
248,ny,schuyler,3329,38118,2,3.5,4.5,134.0,279.0,0.007168458781362007
249,ny,chautauqua,4256,36101,1,3.0,3.0,17.0,7.0,0.14285714285714285
250,ny,chenango,10596,36583,2,3.5,4.0,58.5,385.0,0.005194805194805195
