State,City,Pop,PCI,price,rating,review,Price perc
ak,bristol bay borough,877,116340,2.0,4.75,4.0,0.2
ak,sitka city and borough,8647,66157,2.0,3.8125,12.5,0.6153846153846154
ak,matanuska-susitna borough,107610,45608,1.625,4.1875,44.0,0.36363636363636365
ak,kenai peninsula borough,58533,50466,1.7142857142857142,4.357142857142857,6.428571428571429,0.2413793103448276
ak,juneau city and borough,32113,62774,1.9166666666666667,3.0833333333333335,20.5,0.5454545454545454
ak,haines borough,2474,53013,2.0,4.5,5.0,0.3333333333333333
ak,anchorage municipality,291538,61425,1.9,3.2666666666666666,31.433333333333334,0.2777777777777778
al,tuscaloosa,101113,35365,2.0,3.4722222222222223,20.666666666666668,0.4090909090909091
al,talladega,15291,30917,1.5,3.0,3.6666666666666665,0.6666666666666666
al,butler,1739,32862,2.0,4.03125,11.0625,0.3018867924528302
al,mobile,189572,34661,1.829268292682927,3.158536585365854,18.585365853658537,0.29927007299270075
al,cherokee,1004,31688,1.76,3.3,8.8,0.2631578947368421
al,clay,9646,29443,1.8823529411764706,3.235294117647059,13.470588235294118,0.4358974358974359
al,montgomery,198218,39060,1.8461538461538463,3.076923076923077,18.384615384615383,0.26262626262626265
al,elmore,1441,36665,1.8181818181818181,3.090909090909091,9.636363636363637,0.6875
al,fayette,4327,30747,2.0,4.75,12.5,0.2857142857142857
al,cullman,15858,35144,1.875,3.0,10.125,0.6666666666666666
al,geneva,4335,30997,1.8666666666666667,3.5,11.733333333333333,0.36585365853658536
al,jackson,4742,32986,1.7857142857142858,3.5357142857142856,8.714285714285714,0.4375
al,madison,50440,45274,1.8620689655172413,3.2586206896551726,12.206896551724139,0.35802469135802467
al,marion,3252,29422,1.875,2.6875,7.0,0.6666666666666666
al,franklin,126,30044,1.7924528301886793,3.0849056603773586,13.660377358490566,0.26108374384236455
ar,lonoke,4262,35564,1.8333333333333333,3.5833333333333335,8.833333333333334,0.75
ar,washington,167,35135,1.7777777777777777,3.5277777777777777,15.277777777777779,0.32142857142857145
ar,van buren,23691,29374,1.625,3.5625,19.625,0.7272727272727273
ar,searcy,23768,26785,1.8,3.1,5.4,0.8333333333333334
ar,st. francis,233,25498,2.0,4.2,10.0,0.5
ar,perry,274,31447,1.793103448275862,3.189655172413793,17.689655172413794,0.38666666666666666
ar,madison,696,32411,1.5384615384615385,2.923076923076923,12.538461538461538,0.9285714285714286
ar,lincoln,2474,24404,1.8,3.7666666666666666,18.133333333333333,0.23076923076923078
ar,marion,12364,27465,1.5909090909090908,3.0681818181818183,22.636363636363637,0.2682926829268293
ar,garland,239,35645,1.7916666666666667,3.3229166666666665,21.5625,0.2191780821917808
ar,benton,36403,74292,1.8,3.35,14.3,0.5263157894736842
ar,bradley,528,34423,1.7735849056603774,2.9339622641509435,19.58490566037736,0.2804232804232804
ar,conway,66426,36965,1.8666666666666667,3.3333333333333335,10.333333333333334,0.6818181818181818
ar,johnson,3736,27625,1.8461538461538463,3.1153846153846154,11.846153846153847,0.65
ar,franklin,191,31801,1.4545454545454546,3.909090909090909,3.909090909090909,0.4074074074074074
ar,fulton,194,26383,1.6,3.8,10.8,1.0
az,pima,2512,38031,2.0,2.8333333333333335,10.5,0.5454545454545454
az,maricopa,50024,41197,1.8551724137931034,3.1241379310344826,62.641379310344824,0.24046434494195687
ca,tulare,64475,37121,1.7777777777777777,3.25,56.5,0.5142857142857142
ca,san diego,1425976,52214,1.8846153846153846,3.2884615384615383,146.6076923076923,0.17735334242837653
ca,sonoma,11248,51565,2.0,3.857142857142857,116.71428571428571,0.18421052631578946
ca,santa cruz,64725,56549,1.8214285714285714,3.0892857142857144,107.57142857142857,0.30434782608695654
ca,santa clara,129488,79055,1.8571428571428572,2.888888888888889,85.04761904761905,0.3387096774193548
ca,santa barbara,91350,53758,1.96,3.5,147.08,0.22123893805309736
ca,san mateo,105025,93765,1.8709677419354838,3.0483870967741935,93.38709677419355,0.3974358974358974
ca,san luis obispo,47446,48532,1.9375,3.90625,196.375,0.3076923076923077
ca,san joaquin,4032,37643,1.7017543859649122,3.026315789473684,39.78947368421053,0.2780487804878049
ca,san francisco,883305,99990,1.7674418604651163,3.135658914728682,116.35658914728683,0.20673076923076922
ca,ventura,111128,53031,1.696969696969697,2.742424242424242,103.72727272727273,0.39759036144578314
ca,tehama,421,36005,1.8823529411764706,3.6176470588235294,59.588235294117645,0.3090909090909091
ca,sacramento,508529,45187,1.7721518987341771,3.018987341772152,80.0379746835443,0.29924242424242425
ca,riverside,330063,34753,1.7207207207207207,2.6666666666666665,54.531531531531535,0.2928759894459103
ca,alameda,78338,59085,1.606060606060606,3.0606060606060606,87.96969696969697,0.34375
ca,san bernardino,215941,34320,1.6333333333333333,2.9833333333333334,53.13333333333333,0.24
ca,fresno,530093,37434,1.8888888888888888,3.0694444444444446,58.0,0.2903225806451613
ca,imperial,17695,32890,1.2222222222222223,2.2222222222222223,10.777777777777779,0.75
ca,los angeles,3990456,52233,1.8174603174603174,3.4007936507936507,144.37301587301587,0.07411764705882352
ca,colusa,5911,41877,1.3333333333333333,3.5555555555555554,40.888888888888886,0.75
ca,merced,83316,35361,1.6875,2.59375,37.125,0.7619047619047619
ca,monterey,28289,47557,1.803921568627451,3.235294117647059,124.82352941176471,0.265625
ca,napa,79263,59563,1.9230769230769231,3.6923076923076925,112.84615384615384,0.11016949152542373
ca,orange,139484,57165,1.803030303030303,3.022727272727273,183.9848484848485,0.30697674418604654
ca,madera,65706,35754,1.9090909090909092,3.0606060606060606,71.27272727272727,0.2796610169491525
