,State,City,Pop,DataValue
1633,NY,Jefferson,1421,"42,753"
1634,NY,Schoharie,3002,"34,651"
1635,NY,Wayne,988,"39,367"
1636,NY,Delaware,2579,"34,602"
1637,NY,Rockland,3678,"53,434"
1638,NY,Tioga,4690,"41,958"
1639,NY,Ulster,12593,"42,913"
1640,NY,Putnam,576,"57,163"
1641,NY,Ontario,10088,"45,771"
1642,NC,Beaufort,4391,"37,538"
1643,NC,Brunswick,971,"36,576"
1644,NC,Catawba,620,"38,414"
1645,NC,Cleveland,881,"32,809"
1646,NC,Columbus,995,"29,340"
1647,NC,Davidson,12921,"34,484"
1650,NC,Durham,274291,"43,817"
1654,NC,Franklin,4042,"31,256"
1655,NC,Gaston,1030,"36,378"
1656,NC,Graham,15086,"29,056"
1657,NC,Halifax,207,"31,456"
1658,NC,Henderson,14936,"37,444"
1659,NC,Hertford,2113,"28,555"
1660,NC,Jackson,461,"28,836"
1661,NC,Lenoir,17938,"35,597"
1662,NC,Macon,111,"34,734"
1663,NC,Madison,2118,"29,263"
1664,NC,Rockingham,8776,"33,261"
1665,NC,Washington,9536,"31,729"
1666,NC,Wilson,49329,"36,166"
1667,ND,Adams,120,"49,203"
1669,ND,Bottineau,2205,"57,358"
1670,ND,Bowman,1608,"67,676"
1672,ND,Cavalier,1264,"59,955"
1674,ND,Dickey,39,"55,428"
1675,ND,Golden Valley,168,"53,894"
1677,ND,Grand Forks,56948,"46,131"
1679,ND,Hettinger,1211,"51,356"
1681,ND,LaMoure,896,"51,942"
1682,ND,McHenry,54,"49,514"
1684,ND,Mercer,92,"53,664"
1686,ND,Pembina,553,"50,471"
1688,ND,Rolette,599,"32,024"
1689,ND,Steele,710,"59,264"
1690,ND,Towner,535,"43,906"
1691,ND,Nelson,56,"53,320"
1692,ND,Pierce,69,"41,871"
1693,ND,Renville,31,"55,901"
1694,ND,Richland,18,"43,573"
1695,ND,Ward,54,"58,394"
1696,ND,Logan,37,"53,088"
1697,ND,McKenzie,99,"81,696"
1698,ND,Morton,45,"50,815"
1699,ND,Barnes,21,"49,276"
1700,ND,Billings,12,"94,629"
1701,ND,Divide,75,"65,769"
1702,ND,Eddy,38,"49,167"
1703,ND,Williams,15,"102,808"
1705,ND,Sheridan,27,"31,196"
1706,ND,Sioux,155,"26,476"
1707,ND,Burke,41,"87,338"
1708,ND,Mountrail,32,"72,079"
1709,ND,Grant,105,"40,458"
1710,ND,Ransom,52,"43,100"
1711,ND,Sargent,30,"53,801"
1712,ND,Wells,84,"52,036"
1713,ND,Oliver,10,"46,166"
1714,OH,Ashland,20423,"34,388"
1715,OH,Ashtabula,18079,"34,087"
1719,OH,Athens,24688,"30,284"
1724,OH,Columbiana,6231,"34,446"
1731,OH,Coshocton,11054,"32,279"
1732,OH,Defiance,16663,"37,310"
1737,OH,Delaware,39930,"63,042"
1746,OH,Fairfield,42613,"40,094"
1758,OH,Franklin,11686,"45,894"
1780,OH,Hamilton,62174,"51,996"
1785,OH,Harrison,11608,"34,136"
1807,OH,Huron,6893,"36,022"
1809,OH,Jackson,6242,"32,512"
1847,OH,Logan,7050,"37,574"
1851,OH,Lorain,64028,"40,458"
1852,OH,Marion,36087,"32,292"
1865,OH,Medina,26072,"47,712"
1870,OH,Monroe,13887,"29,895"
1897,OH,Montgomery,10805,"41,017"
1901,OH,Sandusky,24714,"36,561"
1905,OH,Shelby,9030,"40,925"
1910,OH,Union,6783,"44,855"
1943,OH,Van Wert,10680,"37,490"
1946,OH,Warren,38382,"50,919"
1952,OH,Jefferson,1011,"34,487"
1976,OH,Meigs,3780,"30,516"
1978,OH,Wayne,1296,"38,859"
2000,OH,Auglaize,2657,"42,446"
2002,OH,Perry,3407,"32,356"
2029,OH,Richland,6123,"35,138"
2041,OH,Lake,725,"44,891"
2045,OH,Morgan,2097,"29,734"
2051,OH,Trumbull,1353,"35,997"
2052,OH,Noble,1704,"24,020"
2055,OH,Washington,1858,"37,943"
2099,OH,Clark,3030,"36,077"
2103,OH,Pike,4115,"32,934"
2111,OH,Madison,8934,"36,398"
2131,OH,Ross,8885,"32,677"
2134,OH,Brown,7482,"31,949"
2142,OH,Adams,1073,"30,254"
2152,OH,Miami,42554,"41,460"
2157,OH,Butler,3448,"40,702"
2163,OH,Knox,4201,"38,388"
2168,OH,Crawford,1853,"34,696"
2170,OH,Tuscarawas,1849,"38,918"
2172,OH,Holmes,1262,"36,069"
2173,OH,Allen,1085,"36,813"
2177,OH,Highland,2286,"31,379"
2179,OH,Scioto,3543,"33,430"
2184,OH,Hocking,4833,"32,511"
2185,OH,Clinton,4102,"38,592"
2192,OH,Fulton,3210,"39,673"
2193,OH,Portage,710,"39,111"
2196,OH,Fayette,8859,"33,952"
2197,OH,Lawrence,2473,"33,507"
2201,OH,Licking,4899,"40,333"
2203,OH,Seneca,447,"34,204"
2206,OH,Summit,610,"45,112"
2207,OH,Muskingum,4538,"36,560"
2209,OH,Carroll,2100,"35,185"
2210,OH,Erie,1202,"57,133"
2211,OH,Paulding,3839,"36,922"
2212,OH,Pickaway,2112,"36,123"
2213,OH,Ottawa,7764,"44,317"
2214,OH,Greene,965,"43,515"
2215,OH,Vinton,538,"29,491"
2216,OH,Henry,4321,"39,851"
2217,OK,Adair,818,"26,217"
2218,OK,Atoka,3131,"29,639"
2219,OK,Beaver,1404,"54,140"
2220,OK,Caddo,1082,"33,574"
2221,OK,Canadian,205,"43,656"
2222,OK,Carter,239,"42,438"
2223,OK,Cherokee,1507,"29,129"
2224,OK,Choctaw,12624,"30,261"
2225,OK,Cleveland,3148,"42,448"
2226,OK,Comanche,1567,"37,682"
2227,OK,Delaware,404,"29,398"
2228,OK,Dewey,3406,"44,761"
2229,OK,Garvin,254,"38,125"
2230,OK,Haskell,1923,"34,161"
2231,OK,Jefferson,8,"35,341"
2232,OK,Kingfisher,4924,"46,789"
2233,OK,Kiowa,675,"36,218"
2234,OK,Le Flore,176,"31,273"
2235,OK,McCurtain,504,"30,316"
2236,OK,Marshall,299,"31,123"
2237,OK,Muskogee,37402,"33,556"
2238,OK,Noble,6874,"42,917"
2239,OK,Nowata,3612,"34,347"
2240,OK,Okmulgee,11795,"31,883"
2243,OK,Osage,155,"34,574"
2244,OK,Pawnee,2117,"34,000"
2245,OK,Pittsburg,196,"34,939"
2246,OK,Seminole,7172,"34,254"
2247,OK,Tulsa,400669,"71,431"
2252,OK,Wagoner,9061,"36,245"
2253,OK,Washington,659,"56,275"
2254,OK,Woodward,12162,"51,653"
2255,OR,Hood River,7806,"44,061"
2256,OR,Jefferson,3366,"29,736"
2257,OR,Tillamook,5311,"37,857"
2258,OR,Umatilla,7171,"33,773"
2259,OR,Union,2212,"35,343"
2260,OR,Wallowa,817,"40,506"
2261,OR,Wasco,393,"38,229"
2262,OR,Wheeler,437,"33,404"
2263,OR,Yamhill,1172,"37,891"
2264,PA,Adams,1847,"43,154"
2272,PA,Beaver,970,"41,977"
2278,PA,Bradford,8280,"37,530"
2281,PA,Butler,12993,"50,199"
2286,PA,Chester,33909,"72,118"
2288,PA,Erie,96471,"39,260"
2289,PA,Franklin,6078,"40,966"
2307,PA,Lancaster,59420,"44,259"
2310,PA,Lebanon,25902,"41,174"
2312,PA,Mifflin,912,"34,289"
2316,PA,Philadelphia,1584138,"49,341"
2317,PA,Snyder,320,"37,269"
2320,PA,Union,9835,"35,578"
2339,PA,Warren,9124,"41,523"
2342,PA,Washington,13508,"50,489"
2365,PA,York,44118,"42,911"
2367,PA,Cumberland,6256,"48,865"
2369,PA,Indiana,7168,"35,033"
2370,PA,Perry,331,"38,499"
2379,PA,Wayne,1123,"36,740"
2388,PA,Greene,2369,"41,836"
2395,PA,Potter,568,"35,073"
2397,PA,Bedford,5172,"36,009"
2398,PA,Juniata,941,"36,266"
2402,PA,Monroe,1308,"36,665"
2409,PA,Centre,4255,"41,373"
2411,PA,Jefferson,2050,"38,678"
2420,PA,Pike,1758,"39,512"
2424,PA,Allegheny,6536,"52,606"
2430,PA,Blair,4502,"39,921"
2431,PA,Columbia,1164,"36,304"
2432,PA,Northampton,39231,"46,336"
2434,PA,Clearfield,2561,"38,657"
2436,PA,Clinton,2795,"35,673"
2441,PA,Mercer,1068,"36,836"
2442,PA,Venango,831,"37,164"
2445,PA,Cambria,5738,"37,901"
2446,PA,Susquehanna,1859,"38,806"
2450,PA,Lehigh,486,"46,517"
2453,PA,Elk,1703,"42,356"
2457,PA,Schuylkill,8641,"36,707"
2459,PA,Clarion,3909,"37,115"
2460,PA,Lawrence,7561,"38,684"
2462,PA,Crawford,929,"36,513"
2463,PA,Montour,1295,"49,530"
2464,PA,McKean,4347,"41,117"
2465,PA,Luzerne,5903,"39,311"
2466,PA,Montgomery,6222,"69,983"
2469,PA,Carbon,370,"42,613"
2470,PA,Armstrong,2854,"40,751"
2472,PA,Delaware,1552,"55,959"
2476,PA,Fayette,3587,"37,370"
2477,PA,Fulton,3181,"37,895"
2478,PA,Lycoming,1462,"39,745"
2479,PA,Somerset,12184,"36,771"
2481,PA,Sullivan,1455,"41,880"
2482,PA,Tioga,954,"36,578"
2483,RI,Newport,24590,"58,825"
2484,RI,Providence,179335,"42,740"
2485,RI,Bristol,22131,"66,397"
2486,SC,Abbeville,5043,"29,583"
2487,SC,Aiken,30778,"36,900"
2488,SC,Allendale,2979,"26,617"
2489,SC,Anderson,27380,"34,814"
2490,SC,Bamberg,3237,"30,041"
2491,SC,Barnwell,4367,"29,978"
2492,SC,Beaufort,13357,"48,552"
2493,SC,Charleston,136208,"50,970"
2496,SC,Chester,5393,"29,578"
2497,SC,Chesterfield,1420,"26,476"
2498,SC,Darlington,5928,"32,571"
2499,SC,Dillon,6367,"24,259"
2500,SC,Edgefield,4769,"30,301"
2501,SC,Florence,37625,"36,050"
2502,SC,George,8779,"39,576"
2504,SC,Greenville,68563,"42,283"
2505,SC,Greenwood,23407,"33,035"
2506,SC,Hampton,2531,"27,252"
2507,SC,Kershaw,2249,"35,877"
2508,SC,Lancaster,9175,"37,351"
2509,SC,Laurens,8846,"30,681"
2510,SC,Lexington,21737,"40,433"
2511,SC,McCormick,2346,"30,467"
2512,SC,Marion,6427,"27,284"
2513,SC,Newberry,10337,"33,748"
2514,SC,Orangeburg,12903,"29,671"
2515,SC,Pickens,3164,"33,246"
2516,SC,Saluda,3632,"30,675"
2517,SC,Spartanburg,37644,"38,173"
2518,SC,Sumter,39656,"34,425"
2519,SC,Union,7764,"29,080"
2520,SC,York,8235,"39,488"
2521,SD,Aurora,789,"46,881"
2524,SD,Brookings,24509,"42,256"
2526,SD,Buffalo,352,"22,380"
2531,SD,Clark,1065,"51,723"
2535,SD,Custer,1935,"42,449"
2538,SD,Gregory,1249,"41,688"
2539,SD,Mellette,217,"28,391"
2541,SD,Tripp,632,"47,143"
2542,SD,Yankton,14700,"43,366"
2543,SD,Lake,50,"52,731"
2549,SD,Grant,125,"56,042"
2553,SD,Lincoln,1331,"59,375"
2560,SD,Brule,133,"45,980"
2562,SD,Union,55,"85,959"
2572,SD,Jackson,160,"25,520"
2574,SD,Lawrence,562,"44,036"
2576,SD,Day,92,"43,932"
2577,SD,Jones,65,"55,988"
2578,SD,Hamlin,247,"37,292"
2579,SD,Campbell,17,"48,335"
2580,SD,Hanson,277,"64,369"
2581,SD,Butte,2,"34,482"
2582,SD,Miner,33,"39,964"
2583,SD,Sully,22,"79,150"
2584,SD,Turner,182,"56,665"
2585,SD,Spink,252,"54,583"
2586,TN,Benton,1271,"29,948"
2587,TN,Decatur,1647,"39,001"
2588,TN,Dickson,15583,"34,521"
2589,TN,Dyer,2216,"36,791"
2590,TN,Franklin,80914,"34,251"
2591,TN,Gibson,396,"35,101"
2592,TN,Henderson,6315,"32,020"
2593,TN,Henry,465,"37,799"
2594,TN,Jackson,66903,"27,859"
2595,TN,Loudon,5809,"41,723"
2596,TN,Obion,1051,"36,817"
2597,TN,Rutherford,1075,"36,450"
2598,TN,Unicoi,3577,"33,592"
2599,TX,Anderson,234,"30,978"
2600,TX,Andrews,13762,"53,851"
2601,TX,Austin,964254,"49,031"
2605,TX,Bailey,301,"43,111"
2606,TX,Bandera,901,"41,112"
2607,TX,Bastrop,9420,"31,882"
2608,TX,Blanco,2012,"46,215"
2609,TX,Bowie,5059,"35,508"
2610,TX,Brazoria,3112,"44,371"
2611,TX,Burleson,47282,"40,362"
2614,TX,Burnet,6397,"42,809"
2615,TX,Caldwell,4397,"30,028"
2616,TX,Cameron,5529,"25,830"
2617,TX,Childress,6045,"25,793"
2618,TX,Coleman,4379,"39,495"
2619,TX,Comanche,4170,"38,180"
2620,TX,Crane,3680,"48,502"
2621,TX,Crockett,6532,"38,419"
2622,TX,Dallas,1345047,"51,830"
2627,TX,Dawson,797,"31,777"
2628,TX,Denton,138541,"48,827"
2629,TX,Dickens,264,"29,274"
2630,TX,Eastland,3919,"49,212"
2631,TX,Ector,726,"47,802"
2632,TX,El Paso,682669,"31,731"
2633,TX,Franklin,1623,"34,871"
2634,TX,Galveston,50457,"48,054"
2635,TX,Goliad,1976,"44,484"
2636,TX,Gonzales,7606,"42,371"
2637,TX,Hamilton,3016,"52,377"
2638,TX,Hardin,913,"41,209"
2639,TX,Haskell,3242,"34,551"
2640,TX,Hays,261,"37,440"
2641,TX,Hemphill,1239,"95,018"
2642,TX,Henderson,13280,"36,123"
2643,TX,Hidalgo,14083,"24,244"
2644,TX,Houston,2325502,"33,759"
2648,TX,Jasper,7644,"36,848"
2649,TX,Jefferson,1961,"40,555"
2650,TX,Jones,2083,"29,005"
2651,TX,Kaufman,7467,"37,453"
2652,TX,Kenedy,3448,"55,325"
2653,TX,Lampasas,7909,"46,015"
2654,TX,Liberty,9349,"34,237"
2655,TX,Live Oak,15908,"40,604"
2656,TX,Llano,3537,"43,872"
2657,TX,Lubbock,255885,"38,807"
2658,TX,Marion,1187,"35,642"
2659,TX,Mason,2264,"43,435"
2660,TX,Menard,1398,"34,927"
2661,TX,Midland,142344,"119,448"
2664,TX,Montgomery,1034,"64,325"
2665,TX,Nacogdoches,33542,"34,203"
2666,TX,Navarro,210,"34,722"
2667,TX,Newton,2359,"28,988"
2668,TX,Orange,18484,"40,402"
2669,TX,Parker,4802,"48,793"
2670,TX,Pecos,10254,"33,746"
2671,TX,Presidio,3991,"37,989"
2672,TX,Refugio,2771,"45,700"
2673,TX,Rockwall,45112,"52,337"
2674,TX,Rusk,5580,"36,158"
2675,TX,San Augustine,1877,"33,653"
2676,TX,San Patricio,382,"42,008"
2677,TX,San Saba,3158,"30,997"
2678,TX,Scurry,761,"49,252"
2679,TX,Sherman,42462,"62,704"
2680,TX,Taylor,17167,"44,198"
2681,TX,Terrell,18126,"48,732"
2682,TX,Throckmorton,772,"48,822"
2683,TX,Trinity,2771,"32,491"
2684,TX,Tyler,105729,"29,980"
2685,TX,Uvalde,16181,"38,661"
2686,TX,Victoria,67015,"45,847"
2687,TX,Waller,3434,"37,688"
2690,TX,Wharton,8654,"40,827"
2691,TX,Wheeler,1507,"47,936"
2692,TX,Wilson,484,"41,750"
2693,TX,Yoakum,5944,"45,913"
2696,UT,Beaver,3104,"33,748"
2697,UT,Duchesne,1770,"40,706"
2698,UT,Emery,268,"29,448"
2699,UT,Morgan,4260,"43,876"
2700,UT,Tooele,35251,"31,564"
2701,UT,Uintah,1342,"34,107"
2702,UT,Washington,27686,"31,163"
2703,VT,Rutland,15325,"45,885"
2705,VT,Addison,1337,"45,709"
2706,VT,Bennington,15002,"47,187"
2707,VT,Essex,21911,"32,250"
2708,VT,Franklin,1434,"41,083"
2709,VT,Grand Isle,2092,"52,279"
2710,VT,Orange,1105,"42,116"
2711,VT,Washington,1016,"51,829"
2712,VT,Chittenden,1190,"54,081"
2713,VT,Windham,401,"45,232"
2714,VT,Windsor,3348,"51,248"
2715,VA,Alexandria,160530,"81,336"
2716,VA,Amherst,2185,"32,995"
2717,VA,Appomattox,1792,"33,792"
2718,VA,Buchanan,1171,"32,044"
2719,VA,Chesapeake,242634,"45,248"
2720,VA,Culpeper,18619,"40,439"
2721,VA,Floyd,439,"33,906"
2722,VA,Franklin,8013,"35,700"
2723,VA,Halifax,1224,"32,437"
2724,VA,Hampton,134313,"39,178"
2725,VA,Louisa,1702,"36,872"
2726,VA,Madison,243,"46,222"
2727,VA,Newport News,178626,"39,042"
2728,VA,Norfolk,244076,"37,569"
2729,VA,Orange,5049,"42,996"
2730,VA,Portsmouth,94632,"37,238"
2731,VA,Pulaski,8726,"35,624"
2732,VA,Richmond,228783,"32,032"
2734,VA,Roanoke,99920,"39,649"
2735,VA,Shenandoah,2339,"39,354"
2736,VA,Suffolk,91185,"46,071"
2737,VA,Surry,220,"37,898"
2738,VA,Tazewell,4194,"34,146"
2739,VA,Virginia Beach,450189,"50,719"
2740,WA,Asotin,1294,"40,377"
2741,WA,Chelan,4222,"45,101"
2742,WA,Garfield,618,"40,606"
2743,WA,Kittitas,1493,"37,142"
2744,WA,Okanogan,2591,"36,553"
2745,WA,Pacific,7219,"37,554"
2748,WA,Snohomish,10185,"46,896"
2749,WA,Spokane,219190,"40,028"
2750,WA,Walla Walla,32986,"39,426"
2751,WA,Yakima,93884,"37,846"
2752,WV,Clay,448,"28,882"
2753,WV,Logan,1511,"32,521"
2754,WV,Mason,938,"28,756"
2756,WV,Morgan,30955,"30,670"
2757,WV,Wayne,1392,"29,049"
2758,WI,Adams,1895,"34,448"
2762,WI,Ashland,7897,"35,419"
2767,WI,Barron,3321,"42,944"
2769,WI,Bayfield,477,"41,456"
2771,WI,Brown,274,"46,364"
2772,WI,Eau Claire,68866,"42,914"
2777,WI,Fond du Lac,42959,"42,235"
2779,WI,Green Lake,958,"43,012"
2781,WI,Jefferson,8034,"39,794"
2786,WI,Juneau,2658,"33,641"
2787,WI,Kenosha,100164,"40,171"
2788,WI,Kewaunee,2848,"43,908"
2789,WI,La Crosse,51567,"43,802"
2790,WI,Manitowoc,32627,"43,040"
2792,WI,Marinette,10608,"39,004"
2793,WI,Milwaukee,592025,"42,118"
2797,WI,Monroe,10567,"36,355"
2800,WI,Oconto,4517,"40,612"
2802,WI,Portage,10437,"39,883"
2803,WI,Racine,77432,"42,596"
2804,WI,Sheboygan,48180,"45,449"
2806,WI,Washburn,2047,"42,461"
2809,WI,Waukesha,72549,"62,113"
2811,WI,Waupaca,5896,"41,358"
2813,WI,Jackson,986,"40,515"
2816,WI,Lincoln,298,"39,220"
2828,WI,Chippewa,367,"41,329"
2829,WI,Buffalo,695,"40,637"
2831,WI,Rusk,411,"38,750"
2833,WI,Lafayette,5979,"41,854"
2836,WI,Grant,930,"38,957"
2842,WI,Dane,1047,"52,153"
2843,WI,Dunn,5250,"36,749"
2845,WI,Burnett,862,"37,463"
2846,WI,Washington,716,"49,977"
2854,WI,Florence,1951,"48,797"
2855,WI,Calumet,1483,"44,584"
2856,WI,Forest,1082,"35,826"
2860,WI,Marquette,537,"36,369"
2861,WI,Pierce,818,"41,714"
2862,WI,Langlade,449,"38,889"
2863,WI,Price,221,"41,312"
2864,WI,Vilas,229,"45,830"
2865,WI,Marathon,1105,"43,801"
2866,WI,Douglas,728,"37,422"
2867,WI,Oneida,4746,"44,723"
2868,WI,Pepin,717,"43,359"
2869,WI,Richland,1259,"38,365"
2871,WI,Rock,3211,"38,799"
2873,WI,Dodge,403,"40,794"
2874,WI,Trempealeau,1880,"40,883"
2875,WI,Walworth,1713,"41,674"
2876,WI,Polk,4006,"40,951"
2877,WI,Vernon,7678,"36,839"
2878,WI,Wood,759,"41,025"
2879,WY,Laramie,32473,"49,426"
2880,WY,Sheridan,17849,"53,543"
12,CA,Ventura,111128,"53,031"
18,GA,Macon,153095,"28,018"
19,HI,Honolulu,347397,"50,988"
20,ID,Boise,228790,"36,229"
