,State,City,Pop,DataValue
236,IL,Scott,1235,"37,014"
238,IL,Johnson,644,"30,786"
240,IL,Douglas,157,"45,461"
243,IL,Wabash,2152,"41,797"
244,IL,Lake,941,"68,199"
245,IL,Morgan,345,"36,602"
246,IL,Montgomery,637,"33,349"
248,IL,Union,677,"37,679"
252,IL,Franklin,2473,"34,652"
253,IL,De Witt,461,"48,628"
254,IL,Wayne,66483,"40,354"
255,IL,Edgar,449,"37,073"
256,IL,Jackson,1203,"33,046"
258,IL,Pope,214,"26,405"
259,IL,Cass,601,"38,103"
260,IL,Kane,926,"44,432"
261,IL,Hancock,239,"42,145"
262,IL,Iroquois,581,"40,167"
263,IL,Jersey,9823,"36,597"
264,IL,Warren,1479,"36,696"
266,IL,Kendall,8946,"43,074"
267,IL,Henderson,1088,"39,188"
268,IL,Knox,4794,"36,417"
269,IL,Adams,1567,"40,921"
270,IL,Richland,363,"39,787"
273,IL,Bond,619,"32,859"
274,IL,Lawrence,6355,"32,979"
275,IL,Fayette,255,"31,527"
276,IL,Pike,225,"39,140"
277,IL,Randolph,4447,"32,226"
278,IL,Saline,6278,"36,996"
279,IL,Greene,1543,"34,501"
281,IL,Mercer,3872,"40,702"
282,IL,Monroe,1485,"50,446"
283,IL,Logan,3104,"35,205"
284,IL,Sangamon,2333,"43,441"
285,IL,Hardin,204,"34,034"
286,IL,Perry,574,"34,612"
287,IL,St. Clair,35047,"39,740"
288,IL,Jefferson,255,"35,726"
289,IL,Carroll,578,"40,981"
290,IL,Jasper,1722,"42,512"
291,IL,Will,1805,"45,465"
292,IL,Winnebago,5098,"38,275"
293,IN,Clinton,4717,"34,936"
301,IN,Decatur,9843,"38,304"
305,IN,Elkhart,52367,"38,511"
314,IN,Franklin,25248,"40,595"
335,IN,Fulton,318,"36,386"
337,IN,Hamilton,1580,"64,213"
343,IN,Huntington,17019,"37,086"
347,IN,Jasper,15568,"40,597"
351,IN,Knox,3535,"41,101"
353,IN,Lagrange,2748,"34,987"
356,IN,Lawrence,49046,"34,913"
358,IN,Madison,11879,"33,764"
373,IN,Marion,28047,"46,320"
393,IN,Marshall,319,"36,406"
395,IN,Monroe,879,"35,012"
414,IN,Montgomery,347,"37,697"
418,IN,Morgan,976,"39,004"
422,IN,Porter,4825,"45,101"
424,IN,Spencer,2248,"39,496"
428,IN,Sullivan,4097,"31,374"
429,IN,Tipton,5104,"40,206"
431,IN,Wabash,10054,"38,314"
440,IN,Warren,1209,"42,455"
447,IN,Washington,12149,"33,987"
494,IN,Wayne,952,"36,972"
511,IN,Jefferson,1131,"37,002"
539,IN,Union,962,"34,404"
573,IN,Adams,34460,"35,449"
583,IN,Jackson,532,"38,888"
628,IN,Lake,2433,"38,485"
631,IN,Perry,30956,"33,711"
645,IN,St. Joseph,75633,"41,274"
646,IN,Clay,3540,"33,864"
663,IN,Harrison,4132,"37,177"
687,IN,Ohio,1930,"35,220"
691,IN,Grant,1031,"35,592"
695,IN,Tippecanoe,2357,"34,210"
700,IN,Boone,1446,"62,698"
706,IN,Miami,1273,"31,354"
707,IN,Noble,1915,"34,625"
714,IN,Owen,1095,"33,173"
718,IN,Cass,338,"34,954"
726,IN,Posey,3931,"45,646"
733,IN,Johnson,499,"42,691"
741,IN,Jennings,1416,"34,177"
745,IN,Delaware,3475,"32,666"
748,IN,Benton,3128,"39,432"
750,IN,Orange,700,"31,901"
753,IN,Henry,2934,"33,164"
755,IN,Brown,2647,"40,633"
761,IN,Howard,2558,"36,841"
764,IN,Newton,794,"36,608"
765,IN,Greene,968,"34,568"
768,IN,Pike,875,"36,602"
772,IN,Shelby,1129,"39,033"
776,IN,Clark,2715,"40,151"
779,IN,Vigo,3964,"34,509"
780,IN,Scott,1721,"33,426"
784,IN,Allen,670,"40,471"
786,IN,Ripley,985,"37,430"
788,IN,Randolph,4170,"35,269"
790,IN,Floyd,4051,"47,171"
791,IN,Hendricks,1276,"42,937"
792,IN,Steuben,2859,"36,506"
794,IN,Vermillion,877,"35,532"
795,IN,Fayette,2600,"35,734"
796,IN,Gibson,1168,"40,959"
797,IA,Adair,704,"45,386"
800,IA,Audubon,1912,"46,872"
801,IA,Benton,41,"47,565"
802,IA,Boone,12470,"45,036"
803,IA,Carroll,9812,"49,617"
804,IA,Cherokee,4900,"55,347"
805,IA,Clayton,39,"44,107"
806,IA,Clinton,25184,"39,659"
807,IA,Delaware,151,"44,837"
808,IA,Des Moines,216853,"46,007"
811,IA,Dubuque,57941,"42,870"
812,IA,Fayette,1374,"39,680"
813,IA,Floyd,318,"41,127"
814,IA,Franklin,134,"50,235"
815,IA,Fremont,718,"43,944"
816,IA,Greene,1068,"48,116"
819,IA,Hamilton,133,"50,618"
820,IA,Hancock,195,"50,657"
821,IA,Humboldt,4589,"45,629"
822,IA,Jefferson,4148,"37,397"
823,IA,Keokuk,10274,"42,783"
824,IA,Lucas,209,"37,890"
825,IA,Marion,39979,"40,851"
826,IA,Marshall,27068,"38,463"
827,IA,Mitchell,131,"57,565"
828,IA,Monona,1477,"43,238"
829,IA,Monroe,1874,"38,175"
830,IA,Muscatine,23817,"42,450"
831,IA,Osceola,5193,"57,030"
832,IA,Plymouth,363,"52,006"
833,IA,Pocahontas,1663,"51,035"
834,IA,Shelby,616,"50,283"
837,IA,Tama,2745,"40,729"
838,IA,Union,382,"37,907"
839,IA,Wapello,2026,"34,477"
840,IA,Washington,7309,"51,235"
841,IA,Webster,71,"42,161"
842,KS,Allen,174,"36,328"
845,KS,Atchison,10560,"33,996"
846,KS,Chase,436,"41,188"
847,KS,Chautauqua,93,"40,592"
848,KS,Cherokee,709,"32,957"
851,KS,Ellis,2029,"47,125"
853,KS,Ellsworth,2999,"38,612"
855,KS,Ford,217,"32,681"
857,KS,Greeley,296,"49,392"
860,KS,Hamilton,243,"70,366"
861,KS,Harper,1333,"44,958"
863,KS,Jewell,398,"45,261"
864,KS,Kingman,2906,"41,913"
866,KS,Kiowa,941,"31,897"
868,KS,Labette,72,"37,052"
870,KS,Lane,226,"79,792"
873,KS,Leavenworth,36062,"38,217"
874,KS,Linn,385,"32,225"
876,KS,Logan,542,"46,771"
896,KS,McPherson,13077,"47,435"
899,KS,Marion,1787,"36,386"
905,KS,Meade,1565,"55,983"
906,KS,Norton,2768,"41,647"
908,KS,Osborne,1291,"42,878"
910,KS,Ottawa,12267,"36,310"
913,KS,Pratt,6630,"45,391"
914,KS,Republic,108,"44,780"
917,KS,Riley,954,"38,338"
918,KS,Russell,4463,"52,011"
920,KS,Sedgwick,1641,"50,815"
924,KS,Seward,63,"36,597"
926,KS,Shawnee,65845,"41,498"
928,KS,Stafford,956,"56,581"
930,KS,Wallace,59,"51,833"
932,KS,Washington,1062,"43,948"
946,KS,Wichita,389255,"83,074"
947,KS,Wilson,736,"39,854"
952,KS,Osage,242,"36,926"
957,KS,Jackson,451,"36,827"
966,KS,Lincoln,188,"36,138"
992,KS,Cheyenne,194,"42,686"
994,KS,Comanche,438,"38,696"
995,KS,Grant,50,"51,243"
1017,KS,Franklin,347,"37,003"
1025,KS,Pawnee,298,"42,814"
1028,KS,Scott,2265,"67,443"
1032,KS,Clay,70,"39,251"
1034,KS,Jefferson,614,"38,324"
1040,KS,Crawford,590,"33,475"
1042,KS,Lyon,523,"33,378"
1047,KS,Neosho,263,"35,565"
1050,KS,Sheridan,212,"52,677"
1057,KS,Elk,743,"39,799"
1059,KS,Pottawatomie,197,"48,438"
1062,KS,Harvey,92,"38,197"
1064,KS,Sherman,537,"36,625"
1074,KS,Thomas,54,"39,719"
1075,KS,Greenwood,464,"40,168"
1077,KS,Gove,153,"53,858"
1078,KS,Graham,52,"49,814"
1079,KS,Haskell,1950,"74,156"
1080,KS,Reno,1506,"36,148"
1082,KS,Stanton,182,"55,496"
1085,KS,Clark,140,"51,097"
1086,KS,Miami,545,"41,823"
1088,KS,Mitchell,256,"49,249"
1090,KS,Nemaha,153,"50,505"
1091,KS,Johnson,63,"63,277"
1092,KS,Sumner,157,"36,574"
1096,KS,Morton,439,"38,439"
1099,KS,Douglas,108,"37,883"
1100,KS,Morris,24,"39,588"
1101,KS,Smith,266,"40,583"
1102,KS,Wabaunsee,521,"45,431"
1103,KY,Allen,176,"28,593"
1104,KY,Butler,582,"31,131"
1105,KY,Carlisle,1959,"42,485"
1106,KY,Clay,1117,"27,255"
1107,KY,Clinton,1263,"29,631"
1108,KY,Crittenden,3899,"33,019"
1111,KY,Cumberland,1967,"30,581"
1112,KY,Franklin,8969,"38,667"
1113,KY,Fulton,2176,"32,758"
1114,KY,Grayson,3944,"30,255"
1115,KY,Greenup,1116,"36,320"
1116,KY,Hardin,610,"38,575"
1117,KY,Harlan,1531,"27,778"
1118,KY,Henderson,28432,"36,154"
1119,KY,Hickman,2156,"44,746"
1120,KY,Jackson,1979,"26,195"
1121,KY,Jefferson,27997,"44,719"
1122,KY,Livingston,219,"33,691"
1123,KY,Marion,2872,"31,651"
1124,KY,Martin,560,"25,670"
1125,KY,Morgan,2407,"24,605"
1126,KY,Russell,3245,"31,076"
1127,KY,Union,5930,"33,296"
1129,LA,Franklin,6786,"27,693"
1130,LA,Jackson,3725,"32,037"
1131,LA,Lafayette,126143,"53,215"
1132,LA,Livingston,1955,"37,337"
1133,LA,Natchitoches,17831,"33,525"
1134,LA,Washington,929,"30,972"
1135,ME,Cumberland,8165,"51,659"
1136,ME,Franklin,1547,"35,108"
1137,ME,Hancock,2415,"44,349"
1138,ME,Penobscot,1211,"36,425"
1139,ME,Washington,1512,"35,752"
1140,ME,Oxford,4101,"33,163"
1141,ME,Lincoln,4908,"44,159"
1142,ME,Knox,792,"42,538"
1143,ME,Waldo,860,"36,097"
1144,ME,York,13151,"44,437"
1145,MD,Baltimore,602495,"53,832"
1147,MD,Charles,1195,"50,620"
1148,MD,Frederick,72146,"53,601"
1149,MD,Somerset,1280,"29,709"
1150,MA,Worcester,185877,"49,121"
1151,MA,Essex,3789,"57,540"
1152,MA,Hampden,5220,"44,760"
1153,MA,Nantucket,11327,"106,895"
1154,MA,Norfolk,11988,"77,194"
1155,MA,Plymouth,60803,"56,571"
1156,MI,Allegan,5034,"38,552"
1158,MI,Alpena,9963,"35,078"
1160,MI,Charlevoix,2499,"43,027"
1162,MI,Cheboygan,4712,"33,728"
1163,MI,Clare,3069,"29,615"
1168,MI,Gladwin,2887,"30,730"
1170,MI,Hillsdale,8049,"31,050"
1172,MI,Houghton,7993,"32,322"
1174,MI,Ionia,10952,"30,260"
1176,MI,Jackson,32605,"34,054"
1177,MI,Kalamazoo,76545,"41,547"
1178,MI,Lapeer,8621,"36,820"
1180,MI,Manistee,6116,"32,946"
1182,MI,Marquette,20680,"35,194"
1184,MI,Mason,8458,"35,709"
1187,MI,Menominee,8108,"37,545"
1189,MI,Midland,41800,"40,836"
1194,MI,Monroe,19715,"39,996"
1196,MI,Muskegon,37287,"33,447"
1197,MI,Newaygo,2058,"32,273"
1198,MI,Otsego,4002,"36,169"
1200,MI,Saginaw,48323,"34,086"
1201,MI,St. Clair,5306,"37,646"
1203,MI,St. Joseph,8355,"32,629"
1204,MI,Wayne,16896,"36,914"
1206,MI,Alcona,913,"32,714"
1207,MI,Lake,5847,"27,540"
1214,MI,Arenac,853,"32,089"
1215,MI,Baraga,3595,"29,722"
1216,MI,Barry,3495,"39,022"
1217,MI,Berrien,5027,"40,046"
1218,MI,Bay,1126,"36,517"
1219,MI,Chippewa,211,"29,311"
1222,MI,Eaton,4132,"36,492"
1223,MI,Osceola,1841,"31,532"
1225,MI,Schoolcraft,1798,"34,505"
1227,MI,Huron,416,"40,869"
1228,MI,Ingham,2524,"35,503"
1229,MI,Isabella,2249,"31,088"
1230,MI,Kalkaska,4897,"31,621"
1231,MI,Leelanau,2025,"61,797"
1232,MI,Clinton,3538,"39,611"
1234,MI,Iosco,3847,"32,125"
1235,MI,Macomb,90758,"40,077"
