,State,City,Pop,PCI,price,rating,review,PP
0,ak,bristol bay borough,877,116340,1.5,3.75,6.5,0.002280501710376283
1,ak,sitka city and borough,8647,66157,1.9333333333333333,3.966666666666667,38.46666666666667,0.0017347056782699203
2,ak,matanuska-susitna borough,107610,45608,1.894736842105263,3.9473684210526314,68.42105263157895,0.0001765635164018214
3,ak,kenai peninsula borough,58533,50466,2.111111111111111,4.277777777777778,64.16666666666667,0.00030751883552867615
4,ak,juneau city and borough,32113,62774,1.911764705882353,3.911764705882353,110.05882352941177,0.0010587612493382743
5,ak,haines borough,2474,53013,1.8571428571428572,4.0,17.571428571428573,0.0028294260307194824
6,ak,fairbanks north star borough,98971,52179,1.0,4.5,12.0,1.0103969849753968e-05
7,ak,anchorage municipality,291538,61425,1.7871287128712872,3.551980198019802,121.96039603960396,0.0006928770863489493
8,al,tuscaloosa,101113,35365,1.3523809523809525,3.2904761904761903,39.21904761904762,0.0010384421389930077
9,al,talladega,15291,30917,1.2727272727272727,3.477272727272727,12.227272727272727,0.0014387548230985548
10,al,butler,1739,32862,1.5,3.0,3.5,0.0011500862564692352
11,al,mobile,189572,34661,1.502857142857143,3.394285714285714,47.19428571428571,0.0009231321081172325
12,al,cherokee,1004,31688,1.4,4.1,14.0,0.0049800796812749
13,al,clay,9646,29443,1.3867924528301887,3.2877358490566038,26.462264150943398,0.01098901098901099
14,al,elmore,1441,36665,1.5,3.40625,32.46875,0.02220680083275503
15,al,fayette,4327,30747,1.1428571428571428,3.0714285714285716,5.428571428571429,0.0016177490177952392
16,al,cullman,15858,35144,1.3793103448275863,3.8793103448275863,26.93103448275862,0.0018287299785597175
17,al,geneva,4335,30997,1.2,2.7,3.0,0.0011534025374855825
18,al,jackson,4742,32986,1.0625,3.5625,7.6875,0.003374103753690426
19,al,madison,50440,45274,1.5175879396984924,3.5100502512562812,56.23618090452261,0.00394528152260111
20,al,marion,3252,29422,1.3333333333333333,4.0,4.5,0.0018450184501845018
21,al,franklin,126,30044,1.3333333333333333,3.888888888888889,8.666666666666666,0.07142857142857142
22,ar,lonoke,4262,35564,1.0833333333333333,3.0833333333333335,15.416666666666666,0.0028155795401220087
23,ar,washington,167,35135,1.3728813559322033,3.23728813559322,28.71186440677966,0.3532934131736527
24,ar,van buren,23691,29374,1.2692307692307692,3.8653846153846154,37.57692307692308,0.0010974631716685662
25,ar,searcy,23768,26785,1.2413793103448276,3.5689655172413794,16.79310344827586,0.0012201279030629418
26,ar,st. francis,233,25498,1.0,4.25,3.25,0.017167381974248927
27,ar,perry,274,31447,1.25,3.625,7.25,0.014598540145985401
28,ar,madison,696,32411,1.5555555555555556,4.0,50.77777777777778,0.01293103448275862
29,ar,lincoln,2474,24404,1.1666666666666667,4.083333333333333,8.5,0.002425222312045271
30,ar,marion,12364,27465,1.5175438596491229,3.3859649122807016,119.7280701754386,0.009220317049498545
31,ar,garland,239,35645,1.7941176470588236,3.9705882352941178,132.26470588235293,0.14225941422594143
32,ar,benton,36403,74292,1.5909090909090908,3.727272727272727,30.09090909090909,0.0006043457956761805
33,ar,bradley,528,34423,1.75,3.9375,7.875,0.015151515151515152
34,ar,conway,66426,36965,1.5238095238095237,3.642857142857143,32.476190476190474,0.0006322825399692892
35,ar,johnson,3736,27625,1.4375,3.3854166666666665,49.6875,0.01284796573875803
36,ar,franklin,191,31801,3.0,4.5,11.0,0.010471204188481676
37,ar,fulton,194,26383,1.6666666666666667,3.5,32.333333333333336,0.015463917525773196
38,az,pima,2512,38031,1.5,3.5,23.4,0.003980891719745223
39,az,maricopa,50024,41197,1.6470588235294117,3.7058823529411766,87.29411764705883,0.00033983687829841673
40,ca,tulare,64475,37121,1.474820143884892,3.41726618705036,80.88489208633094,0.002155874369910818
41,ca,san diego,1425976,52214,1.8149779735682818,4.176211453744493,1091.0528634361233,0.00015918921496574977
42,ca,sonoma,11248,51565,1.972972972972973,3.9324324324324325,403.0810810810811,0.003289473684210526
43,ca,santa cruz,64725,56549,1.6049382716049383,3.6358024691358026,296.1975308641975,0.002502896871378911
44,ca,santa clara,129488,79055,1.8805309734513274,3.851769911504425,761.7212389380531,0.00174533547510194
45,ca,santa barbara,91350,53758,1.7096774193548387,3.7995391705069124,294.33179723502303,0.002375478927203065
46,ca,san mateo,105025,93765,1.8294930875576036,3.866359447004608,483.2396313364055,0.002066174720304689
47,ca,san luis obispo,47446,48532,1.8356164383561644,3.9657534246575343,382.56164383561645,0.001538591240568225
48,ca,san joaquin,4032,37643,1.3333333333333333,4.291666666666667,15.416666666666666,0.002976190476190476
49,ca,san francisco,883305,99990,2.030701754385965,4.067982456140351,1162.627192982456,0.00025812148691561806
50,ca,ventura,111128,53031,1.7045454545454546,3.8181818181818183,238.21818181818182,0.0019796990857389677
51,ca,tehama,421,36005,1.1428571428571428,4.071428571428571,10.571428571428571,0.0166270783847981
52,ca,sacramento,508529,45187,1.7918552036199096,4.015837104072398,517.1990950226244,0.00043458681805757393
53,ca,riverside,330063,34753,1.445945945945946,3.7432432432432434,275.63513513513516,0.0006725988674889339
54,ca,alameda,78338,59085,1.7641509433962264,3.9622641509433962,425.8018867924528,0.0027062217570017104
55,ca,san bernardino,215941,34320,1.5294117647058822,3.752450980392157,273.3578431372549,0.0009447024881796416
56,ca,fresno,530093,37434,1.6826923076923077,3.949519230769231,195.96153846153845,0.0003923839779057637
57,ca,imperial,17695,32890,1.6,3.9,76.86666666666666,0.0008476970895733258
58,ca,los angeles,3990456,52233,1.8571428571428572,4.151785714285714,1116.5089285714287,5.613393557027067e-05
59,ca,colusa,5911,41877,1.3888888888888888,3.9166666666666665,26.944444444444443,0.0030451700219928947
60,ca,merced,83316,35361,1.5769230769230769,3.6826923076923075,123.96153846153847,0.0006241298190023524
61,ca,monterey,28289,47557,1.8773006134969326,3.763803680981595,453.49693251533745,0.005761956944395348
62,ca,napa,79263,59563,1.861842105263158,3.661184210526316,406.7368421052632,0.0019176665026557158
63,ca,orange,139484,57165,1.7022222222222223,3.962222222222222,633.5022222222223,0.001613088239511342
64,ca,madera,65706,35754,1.3541666666666667,3.1354166666666665,58.479166666666664,0.000730526892521231
65,co,montezuma,68,39527,1.8450704225352113,3.7464788732394365,191.85915492957747,1.0441176470588236
66,co,sedgwick,140,54366,1.4333333333333333,3.75,30.1,0.21428571428571427
67,co,saguache,504,27918,1.2,4.2,29.0,0.00992063492063492
68,co,pueblo,111750,33932,1.4878048780487805,3.268292682926829,44.6219512195122,0.0007337807606263982
69,co,pitkin,72,126611,1.7777777777777777,4.138888888888889,120.5,0.25
70,co,ouray,1010,51437,2.0,3.769230769230769,117.0,0.01287128712871287
71,co,montrose,19512,34155,1.8333333333333333,4.138888888888889,86.61111111111111,0.0009225092250922509
72,co,moffat,120,40342,1.5333333333333334,3.62,47.733333333333334,0.625
73,co,yuma,3460,52760,1.25,2.875,4.25,0.0011560693641618498
74,co,kit carson,238,35048,1.1428571428571428,3.75,42.57142857142857,0.058823529411764705
75,co,kiowa,757,52054,1.4285714285714286,3.3214285714285716,24.785714285714285,0.018494055482166448
76,co,gunnison,6594,40429,1.85,4.0,83.2,0.003033060357901122
77,co,eagle,6961,60847,1.7777777777777777,3.9444444444444446,58.888888888888886,0.00258583536848154
78,co,dolores,958,33107,1.8,3.7,37.8,0.005219206680584551
79,co,denver,716492,68046,1.9481132075471699,4.15566037735849,445.87735849056605,0.0002958860671158924
80,co,delta,8920,33209,1.8,3.8666666666666667,21.8,0.0016816143497757848
81,co,crowley,167,18464,1.3846153846153846,4.076923076923077,21.46153846153846,0.07784431137724551
82,co,alamosa,9997,32221,1.4666666666666666,4.133333333333334,97.13333333333334,0.0015004501350405122
83,co,las animas,2190,37013,1.3333333333333333,4.166666666666667,19.733333333333334,0.00684931506849315
84,ct,windham,24706,41381,1.523076923076923,3.707692307692308,50.0,0.0026309398526673682
85,ct,tolland,14655,50980,1.9444444444444444,3.9444444444444446,67.05555555555556,0.0012282497441146367
86,ct,litchfield,8127,56884,2.03125,3.828125,67.34375,0.003937492309585333
87,ct,new haven,130418,50286,1.6787564766839378,3.77720207253886,125.60103626943005,0.0014798570749436427
88,ct,new london,26939,51200,1.791044776119403,3.716417910447761,82.65671641791045,0.0024871004862838265
89,ct,hartford,122587,57564,1.6952380952380952,3.7095238095238097,115.29523809523809,0.0017130690856289818
90,ct,fairfield,61952,102612,1.7248322147651007,3.7181208053691277,69.1006711409396,0.002405087809917355
91,de,new castle,5529,49300,1.4864864864864864,3.439189189189189,45.33108108108108,0.02676795080484717
92,fl,sarasota,57738,54984,1.875598086124402,4.047846889952153,161.6267942583732,0.0036197997852367592
93,fl,palm beach,8802,66126,1.713450292397661,3.763157894736842,113.94152046783626,0.019427402862985686
94,fl,madison,2797,28449,1.2,3.85,11.9,0.003575259206292456
95,fl,lee,328,44543,1.1538461538461537,3.6923076923076925,17.153846153846153,0.039634146341463415
96,fl,alachua,9949,38638,1.375,3.875,43.6875,0.0016082018293295808
97,fl,okeechobee,5731,28601,1.5714285714285714,4.071428571428571,45.5,0.002442854650148316
