,City,State,2018estimate,2010Census,Change,2016 land area,2016 land area.1
77,Jersey City,New Jersey,265549,247597,+7.25%,14.8 sq mi,38.3 km2
78,St. Petersburg,Florida,265098,244769,+8.31%,61.8 sq mi,160.1 km2
79,Laredo,Texas,261639,236091,+10.82%,101.1 sq mi,261.8 km2
80,Madison,Wisconsin,258054,233209,+10.65%,77.0 sq mi,199.4 km2
81,Chandler,Arizona,257165,236123,+8.91%,64.9 sq mi,168.1 km2
82,Buffalo,New York,256304,261310,−1.92%,40.4 sq mi,104.6 km2
83,Lubbock,Texas,255885,229573,+11.46%,124.6 sq mi,322.7 km2
84,Scottsdale,Arizona,255310,217385,+17.45%,183.9 sq mi,476.3 km2
85,Reno,Nevada,250998,225221,+11.45%,107.3 sq mi,277.9 km2
86,Glendale,Arizona,250702,226721,+10.58%,59.1 sq mi,153.1 km2
87,Gilbert,Arizona,248279,208453,+19.11%,68.0 sq mi,176.1 km2
88,Winston–Salem,North Carolina,246328,229617,+7.28%,132.5 sq mi,343.2 km2
89,North Las Vegas,Nevada,245949,216961,+13.36%,98.0 sq mi,253.8 km2
90,Norfolk,Virginia,244076,242803,+0.52%,53.3 sq mi,138.0 km2
91,Chesapeake,Virginia,242634,222209,+9.19%,338.5 sq mi,876.7 km2
92,Garland,Texas,242507,226876,+6.89%,57.0 sq mi,147.6 km2
93,Irving,Texas,242242,216290,+12.00%,67.0 sq mi,173.5 km2
94,Hialeah,Florida,238942,224669,+6.35%,21.5 sq mi,55.7 km2
95,Fremont,California,237807,214089,+11.08%,77.5 sq mi,200.7 km2
96,Boise,Idaho,228790,205671,+11.24%,82.1 sq mi,212.6 km2
97,Richmond,Virginia,228783,204214,+12.03%,59.8 sq mi,154.9 km2
98,Baton Rouge,Louisiana,221599,229493,−3.44%,85.9 sq mi,222.5 km2
99,Spokane,Washington,219190,208916,+4.92%,68.7 sq mi,177.9 km2
100,Des Moines,Iowa,216853,203433,+6.60%,88.9 sq mi,230.2 km2
101,Tacoma,Washington,216279,198397,+9.01%,49.7 sq mi,128.7 km2
102,San Bernardino,California,215941,209924,+2.87%,61.5 sq mi,159.3 km2
103,Modesto,California,215030,201165,+6.89%,43.0 sq mi,111.4 km2
104,Fontana,California,213739,196069,+9.01%,43.0 sq mi,111.4 km2
105,Santa Clarita,California,210089,176320,+19.15%,52.8 sq mi,136.8 km2
106,Birmingham,Alabama,209880,212237,−1.11%,146.1 sq mi,378.4 km2
107,Oxnard,California,209877,197899,+6.05%,26.9 sq mi,69.7 km2
108,Fayetteville,North Carolina,209468,200564,+4.44%,147.7 sq mi,382.5 km2
109,Moreno Valley,California,209050,193365,+8.11%,51.3 sq mi,132.9 km2
110,Rochester,New York,206284,210565,−2.03%,35.8 sq mi,92.7 km2
111,Glendale,California,201361,191719,+5.03%,30.4 sq mi,78.7 km2
112,Huntington Beach,California,200641,189992,+5.60%,26.9 sq mi,69.7 km2
113,Salt Lake City,Utah,200591,186440,+7.59%,111.2 sq mi,288.0 km2
114,Grand Rapids,Michigan,200217,188040,+6.48%,44.4 sq mi,115.0 km2
115,Amarillo,Texas,199924,190695,+4.84%,101.4 sq mi,262.6 km2
116,Yonkers,New York,199663,195976,+1.88%,18.0 sq mi,46.6 km2
117,Aurora,Illinois,199602,197899,+0.86%,44.9 sq mi,116.3 km2
118,Montgomery,Alabama,198218,205764,−3.67%,159.8 sq mi,413.9 km2
119,Akron,Ohio,198006,199110,−0.55%,62.0 sq mi,160.6 km2
120,Little Rock,Arkansas,197881,193524,+2.25%,118.7 sq mi,307.4 km2
121,Huntsville,Alabama,197318,180105,+9.56%,213.4 sq mi,552.7 km2
122,Augusta,Georgia,196939,195844,+0.56%,302.5 sq mi,783.5 km2
123,Port St. Lucie,Florida,195248,164603,+18.62%,118.9 sq mi,307.9 km2
124,Grand Prairie,Texas,194614,175396,+10.96%,72.3 sq mi,187.3 km2
125,Columbus,Georgia,194160,189885,+2.25%,216.4 sq mi,560.5 km2
126,Tallahassee,Florida,193551,181376,+6.71%,100.4 sq mi,260.0 km2
127,Overland Park,Kansas,192536,173372,+11.05%,75.1 sq mi,194.5 km2
128,Tempe,Arizona,192364,161719,+18.95%,40.0 sq mi,103.6 km2
129,McKinney,Texas,191645,131117,+46.16%,63.0 sq mi,163.2 km2
130,Mobile,Alabama,189572,195111,−2.84%,139.4 sq mi,361.0 km2
131,Cape Coral,Florida,189343,154305,+22.71%,105.6 sq mi,273.5 km2
132,Shreveport,Louisiana,188987,199311,−5.18%,107.1 sq mi,277.4 km2
133,Frisco,Texas,188170,116989,+60.84%,67.7 sq mi,175.3 km2
134,Knoxville,Tennessee,187500,178874,+4.82%,98.5 sq mi,255.1 km2
135,Worcester,Massachusetts,185877,181045,+2.67%,37.4 sq mi,96.9 km2
136,Brownsville,Texas,183392,175023,+4.78%,132.5 sq mi,343.2 km2
137,Vancouver,Washington,183012,161791,+13.12%,46.9 sq mi,121.5 km2
138,Fort Lauderdale,Florida,182595,165521,+10.32%,34.6 sq mi,89.6 km2
139,Sioux Falls,South Dakota,181883,153888,+18.19%,75.4 sq mi,195.3 km2
140,Ontario,California,181107,163924,+10.48%,49.9 sq mi,129.2 km2
141,Chattanooga,Tennessee,180557,167674,+7.68%,143.1 sq mi,370.6 km2
142,Providence,Rhode Island,179335,178042,+0.73%,18.4 sq mi,47.7 km2
143,Newport News,Virginia,178626,180719,−1.16%,69.1 sq mi,179.0 km2
144,Rancho Cucamonga,California,177751,165269,+7.55%,40.0 sq mi,103.6 km2
145,Santa Rosa,California,177586,167815,+5.82%,41.3 sq mi,107.0 km2
146,Oceanside,California,176080,167086,+5.38%,41.3 sq mi,107.0 km2
147,Salem,Oregon,173442,154637,+12.16%,48.6 sq mi,125.9 km2
148,Elk Grove,California,172886,153015,+12.99%,42.2 sq mi,109.3 km2
149,Garden Grove,California,172646,170883,+1.03%,18.0 sq mi,46.6 km2
150,Pembroke Pines,Florida,172374,154019,+11.92%,33.0 sq mi,85.5 km2
151,Peoria,Arizona,172259,154065,+11.81%,175.7 sq mi,455.1 km2
152,Eugene,Oregon,171245,156185,+9.64%,44.1 sq mi,114.2 km2
153,Corona,California,168819,152374,+10.79%,39.5 sq mi,102.3 km2
154,Cary,North Carolina,168160,135234,+24.35%,56.5 sq mi,146.3 km2
155,Springfield,Missouri,168122,159498,+5.41%,82.3 sq mi,213.2 km2
156,Fort Collins,Colorado,167830,143986,+16.56%,55.8 sq mi,144.5 km2
157,Jackson,Mississippi,164422,173514,−5.24%,111.0 sq mi,287.5 km2
158,Alexandria,Virginia,160530,139966,+14.69%,15.0 sq mi,38.8 km2
159,Hayward,California,159620,144186,+10.70%,45.5 sq mi,117.8 km2
160,Lancaster,California,159053,156633,+1.55%,94.3 sq mi,244.2 km2
161,Lakewood,Colorado,156798,142980,+9.66%,42.9 sq mi,111.1 km2
162,Clarksville,Tennessee,156794,132929,+17.95%,98.3 sq mi,254.6 km2
163,Palmdale,California,156667,152750,+2.56%,106.0 sq mi,274.5 km2
164,Salinas,California,156259,150441,+3.87%,23.6 sq mi,61.1 km2
165,Springfield,Massachusetts,155032,153060,+1.29%,31.9 sq mi,82.6 km2
166,Hollywood,Florida,154823,140768,+9.98%,27.3 sq mi,70.7 km2
167,Pasadena,Texas,153219,149043,+2.80%,43.5 sq mi,112.7 km2
168,Sunnyvale,California,153185,140081,+9.35%,22.0 sq mi,57.0 km2
169,Macon,Georgia,153095,91351,+67.59%,249.3 sq mi,645.7 km2
170,Kansas City,Kansas,152958,145786,+4.92%,124.8 sq mi,323.2 km2
171,Pomona,California,152361,149058,+2.22%,23.0 sq mi,59.6 km2
172,Escondido,California,152213,143911,+5.77%,37.1 sq mi,96.1 km2
173,Killeen,Texas,149103,127921,+16.56%,53.5 sq mi,138.6 km2
174,Naperville,Illinois,148304,141853,+4.55%,38.7 sq mi,100.2 km2
