,State,City,POPESTIMATE2018,DataValue
297,IN,Clinton,4871,"34,936"
298,IN,Clinton,1489,"34,936"
299,IN,Clinton,1277,"34,936"
300,IN,Clinton,8746,"34,936"
301,IN,Decatur,9843,"38,304"
302,IN,Decatur,1718,"38,304"
303,IN,Decatur,8125,"38,304"
304,IN,Decatur,34546,"38,304"
305,IN,Elkhart,52367,"38,511"
306,IN,Elkhart,84,"38,511"
307,IN,Elkhart,2162,"38,511"
308,IN,Elkhart,36087,"38,511"
309,IN,Elkhart,38192,"38,511"
310,IN,Elkhart,0,"38,511"
311,IN,Elkhart,14032,"38,511"
312,IN,Elkhart,2,"38,511"
313,IN,Elkhart,2060,"38,511"
314,IN,Franklin,25248,"40,595"
315,IN,Franklin,1207,"40,595"
316,IN,Franklin,1577,"40,595"
317,IN,Franklin,6802,"40,595"
318,IN,Franklin,4205,"40,595"
319,IN,Franklin,1373,"40,595"
320,IN,Franklin,1119,"40,595"
321,IN,Franklin,21987,"40,595"
322,IN,Franklin,19321,"40,595"
323,IN,Franklin,4494,"40,595"
324,IN,Franklin,1433,"40,595"
325,IN,Franklin,1124,"40,595"
326,IN,Franklin,58146,"40,595"
327,IN,Franklin,1915,"40,595"
328,IN,Franklin,1219,"40,595"
329,IN,Franklin,670,"40,595"
330,IN,Franklin,1660,"40,595"
331,IN,Franklin,1203,"40,595"
332,IN,Franklin,3719,"40,595"
333,IN,Franklin,2294,"40,595"
334,IN,Franklin,1303,"40,595"
335,IN,Fulton,318,"36,386"
336,IN,Fulton,584,"36,386"
337,IN,Hamilton,1580,"64,213"
338,IN,Hamilton,265,"64,213"
339,IN,Hamilton,7012,"64,213"
340,IN,Hamilton,1632,"64,213"
341,IN,Hamilton,1315,"64,213"
342,IN,Hamilton,6628,"64,213"
343,IN,Huntington,17019,"37,086"
344,IN,Huntington,20259,"37,086"
345,IN,Huntington,17019,"37,086"
346,IN,Huntington,0,"37,086"
347,IN,Jasper,15568,"40,597"
348,IN,Jasper,14965,"40,597"
349,IN,Jasper,39,"40,597"
350,IN,Jasper,564,"40,597"
351,IN,Knox,3535,"41,101"
352,IN,Knox,492,"41,101"
353,IN,Lagrange,2748,"34,987"
354,IN,Lagrange,2702,"34,987"
355,IN,Lagrange,46,"34,987"
356,IN,Lawrence,49046,"34,913"
357,IN,Lawrence,125843,"34,913"
358,IN,Madison,11879,"33,764"
359,IN,Madison,1863,"33,764"
360,IN,Madison,433,"33,764"
361,IN,Madison,2028,"33,764"
362,IN,Madison,2959,"33,764"
363,IN,Madison,2704,"33,764"
364,IN,Madison,639,"33,764"
365,IN,Madison,17329,"33,764"
366,IN,Madison,1276,"33,764"
367,IN,Madison,9830,"33,764"
368,IN,Madison,370,"33,764"
369,IN,Madison,1032,"33,764"
