,GeoName,TimePeriod,DataValue
138,"Benton, AR",2014,"74,292"
139,"Boone, AR",2014,"32,340"
140,"Bradley, AR",2014,"34,423"
141,"Calhoun, AR",2014,"30,097"
142,"Carroll, AR",2014,"31,421"
143,"Chicot, AR",2014,"33,064"
144,"Clark, AR",2014,"31,806"
145,"Clay, AR",2014,"30,731"
146,"Cleburne, AR",2014,"35,207"
147,"Cleveland, AR",2014,"35,439"
148,"Columbia, AR",2014,"35,539"
149,"Conway, AR",2014,"36,965"
150,"Craighead, AR",2014,"34,415"
151,"Crawford, AR",2014,"30,057"
152,"Crittenden, AR",2014,"33,391"
153,"Cross, AR",2014,"34,117"
154,"Dallas, AR",2014,"29,516"
155,"Desha, AR",2014,"34,463"
156,"Drew, AR",2014,"33,632"
157,"Faulkner, AR",2014,"34,223"
158,"Franklin, AR",2014,"31,801"
159,"Fulton, AR",2014,"26,383"
160,"Garland, AR",2014,"35,645"
161,"Grant, AR",2014,"34,089"
162,"Greene, AR",2014,"31,797"
163,"Hempstead, AR",2014,"29,402"
164,"Hot Spring, AR",2014,"27,860"
165,"Howard, AR",2014,"32,858"
166,"Independence, AR",2014,"31,124"
167,"Izard, AR",2014,"27,697"
168,"Jackson, AR",2014,"34,603"
169,"Jefferson, AR",2014,"32,008"
170,"Johnson, AR",2014,"27,625"
171,"Lafayette, AR",2014,"34,162"
172,"Lawrence, AR",2014,"31,239"
173,"Lee, AR",2014,"25,808"
174,"Lincoln, AR",2014,"24,404"
175,"Little River, AR",2014,"31,866"
176,"Logan, AR",2014,"32,926"
177,"Lonoke, AR",2014,"35,564"
178,"Madison, AR",2014,"32,411"
179,"Marion, AR",2014,"27,465"
180,"Miller, AR",2014,"30,637"
181,"Mississippi, AR",2014,"28,742"
182,"Monroe, AR",2014,"30,527"
183,"Montgomery, AR",2014,"26,959"
184,"Nevada, AR",2014,"30,104"
185,"Newton, AR",2014,"26,240"
186,"Ouachita, AR",2014,"33,096"
187,"Perry, AR",2014,"31,447"
188,"Phillips, AR",2014,"29,695"
189,"Pike, AR",2014,"29,781"
190,"Poinsett, AR",2014,"29,539"
191,"Polk, AR",2014,"28,534"
192,"Pope, AR",2014,"31,965"
193,"Prairie, AR",2014,"33,756"
194,"Pulaski, AR",2014,"45,855"
195,"Randolph, AR",2014,"29,541"
196,"St. Francis, AR",2014,"25,498"
197,"Saline, AR",2014,"37,739"
198,"Scott, AR",2014,"27,992"
199,"Searcy, AR",2014,"26,785"
200,"Sebastian, AR",2014,"38,552"
201,"Sevier, AR",2014,"28,933"
202,"Sharp, AR",2014,"30,343"
203,"Stone, AR",2014,"28,509"
204,"Union, AR",2014,"44,425"
205,"Van Buren, AR",2014,"29,374"
206,"Washington, AR",2014,"35,135"
207,"White, AR",2014,"32,157"
208,"Woodruff, AR",2014,"31,769"
209,"Yell, AR",2014,"30,642"
210,"Alameda, CA",2014,"59,085"
211,"Alpine, CA",2014,"67,989"
212,"Amador, CA",2014,"39,802"
213,"Butte, CA",2014,"38,057"
214,"Calaveras, CA",2014,"41,371"
215,"Colusa, CA",2014,"41,877"
216,"Contra Costa, CA",2014,"64,138"
217,"Del Norte, CA",2014,"32,606"
218,"El Dorado, CA",2014,"57,220"
219,"Fresno, CA",2014,"37,434"
220,"Glenn, CA",2014,"40,201"
221,"Humboldt, CA",2014,"40,760"
222,"Imperial, CA",2014,"32,890"
223,"Inyo, CA",2014,"51,184"
224,"Kern, CA",2014,"37,461"
225,"Kings, CA",2014,"33,107"
226,"Lake, CA",2014,"36,205"
227,"Lassen, CA",2014,"32,354"
228,"Los Angeles, CA",2014,"52,233"
229,"Madera, CA",2014,"35,754"
230,"Marin, CA",2014,"106,614"
231,"Mariposa, CA",2014,"42,245"
