State,City,Pop_x,PCI_x,price_x,rating_x,review_x,PP_x,Pop_y,PCI_y,price_y,rating_y,review_y,PP_y
ak,bristol bay borough,877,116340,2.6666666666666665,4.666666666666667,5.0,0.0034207525655644243,877,116340,1.5,3.75,6.5,0.002280501710376283
ak,sitka city and borough,8647,66157,2.2,3.65,13.5,0.0011564704521799469,8647,66157,1.9333333333333333,3.966666666666667,38.46666666666667,0.0017347056782699203
ak,matanuska-susitna borough,107610,45608,2.0833333333333335,4.083333333333333,36.416666666666664,0.0001115137998327293,107610,45608,1.894736842105263,3.9473684210526314,68.42105263157895,0.0001765635164018214
ak,kenai peninsula borough,58533,50466,2.272727272727273,4.181818181818182,7.818181818181818,0.0001879281772675243,58533,50466,2.111111111111111,4.277777777777778,64.16666666666667,0.00030751883552867615
ak,juneau city and borough,32113,62774,2.2,3.2666666666666666,20.066666666666666,0.0004671005511786504,32113,62774,1.911764705882353,3.911764705882353,110.05882352941177,0.0010587612493382743
ak,haines borough,2474,53013,2.5,4.5,5.75,0.0016168148746968471,2474,53013,1.8571428571428572,4.0,17.571428571428573,0.0028294260307194824
ak,anchorage municipality,291538,61425,2.0833333333333335,3.25,41.361111111111114,0.00012348304509189197,291538,61425,1.7871287128712872,3.551980198019802,121.96039603960396,0.0006928770863489493
al,tuscaloosa,101113,35365,2.0526315789473686,3.473684210526316,20.36842105263158,0.00018790857753206807,101113,35365,1.3523809523809525,3.2904761904761903,39.21904761904762,0.0010384421389930077
al,talladega,15291,30917,1.5,3.0,3.6666666666666665,0.00039238767902687857,15291,30917,1.2727272727272727,3.477272727272727,12.227272727272727,0.0014387548230985548
al,butler,1739,32862,2.0,4.03125,11.0625,0.009200690051753882,1739,32862,1.5,3.0,3.5,0.0011500862564692352
al,mobile,189572,34661,1.8837209302325582,3.197674418604651,22.13953488372093,0.00022682674656594856,189572,34661,1.502857142857143,3.394285714285714,47.19428571428571,0.0009231321081172325
al,cherokee,1004,31688,1.8076923076923077,3.3461538461538463,8.576923076923077,0.025896414342629483,1004,31688,1.4,4.1,14.0,0.0049800796812749
al,clay,9646,29443,1.8823529411764706,3.235294117647059,13.470588235294118,0.001762388554841385,9646,29443,1.3867924528301887,3.2877358490566038,26.462264150943398,0.01098901098901099
al,elmore,1441,36665,1.9166666666666667,3.125,9.0,0.008327550312283136,1441,36665,1.5,3.40625,32.46875,0.02220680083275503
al,fayette,4327,30747,2.0,4.75,12.5,0.00046221400508435407,4327,30747,1.1428571428571428,3.0714285714285716,5.428571428571429,0.0016177490177952392
al,cullman,15858,35144,2.0,3.0,10.11111111111111,0.0005675368898978433,15858,35144,1.3793103448275863,3.8793103448275863,26.93103448275862,0.0018287299785597175
al,geneva,4335,30997,1.8666666666666667,3.5,11.733333333333333,0.0034602076124567475,4335,30997,1.2,2.7,3.0,0.0011534025374855825
al,jackson,4742,32986,1.7857142857142858,3.5357142857142856,8.714285714285714,0.0029523407844791226,4742,32986,1.0625,3.5625,7.6875,0.003374103753690426
al,madison,50440,45274,2.0,3.257575757575758,13.696969696969697,0.0006542426645519429,50440,45274,1.5175879396984924,3.5100502512562812,56.23618090452261,0.00394528152260111
al,marion,3252,29422,1.875,2.6875,7.0,0.0024600246002460025,3252,29422,1.3333333333333333,4.0,4.5,0.0018450184501845018
al,franklin,126,30044,1.8571428571428572,3.1607142857142856,14.5,0.4444444444444444,126,30044,1.3333333333333333,3.888888888888889,8.666666666666666,0.07142857142857142
ar,lonoke,4262,35564,2.0,3.5,8.857142857142858,0.001642421398404505,4262,35564,1.0833333333333333,3.0833333333333335,15.416666666666666,0.0028155795401220087
ar,washington,167,35135,1.7777777777777777,3.5277777777777777,15.277777777777779,0.10778443113772455,167,35135,1.3728813559322033,3.23728813559322,28.71186440677966,0.3532934131736527
ar,van buren,23691,29374,1.625,3.5625,19.625,0.00033768097589802036,23691,29374,1.2692307692307692,3.8653846153846154,37.57692307692308,0.0010974631716685662
ar,searcy,23768,26785,1.8,3.1,5.4,0.0004207337596768765,23768,26785,1.2413793103448276,3.5689655172413794,16.79310344827586,0.0012201279030629418
ar,st. francis,233,25498,2.0,4.2,10.0,0.02145922746781116,233,25498,1.0,4.25,3.25,0.017167381974248927
ar,perry,274,31447,1.8333333333333333,3.1333333333333333,17.266666666666666,0.10948905109489052,274,31447,1.25,3.625,7.25,0.014598540145985401
ar,madison,696,32411,1.5384615384615385,2.923076923076923,12.538461538461538,0.01867816091954023,696,32411,1.5555555555555556,4.0,50.77777777777778,0.01293103448275862
ar,lincoln,2474,24404,1.875,3.8125,17.625,0.0064672594987873885,2474,24404,1.1666666666666667,4.083333333333333,8.5,0.002425222312045271
ar,marion,12364,27465,1.8888888888888888,3.111111111111111,43.55555555555556,0.0021837593011970234,12364,27465,1.5175438596491229,3.3859649122807016,119.7280701754386,0.009220317049498545
ar,garland,239,35645,1.9444444444444444,3.435185185185185,21.814814814814813,0.22594142259414227,239,35645,1.7941176470588236,3.9705882352941178,132.26470588235293,0.14225941422594143
ar,benton,36403,74292,1.8,3.35,14.3,0.0002747026343982639,36403,74292,1.5909090909090908,3.727272727272727,30.09090909090909,0.0006043457956761805
ar,bradley,528,34423,1.896551724137931,2.8706896551724137,18.46551724137931,0.10984848484848485,528,34423,1.75,3.9375,7.875,0.015151515151515152
ar,conway,66426,36965,1.9375,3.4375,9.75,0.00024086953903591966,66426,36965,1.5238095238095237,3.642857142857143,32.476190476190474,0.0006322825399692892
