State,City,Pop,PCI,price,rating,review,Price perc
ak,sitka city and borough,8647,66157,2.0,3.5,3.0,0.3333333333333333
ak,juneau city and borough,32113,62774,2.0,3.8333333333333335,7.333333333333333,0.17647058823529413
ak,anchorage municipality,291538,61425,2.0,4.116666666666666,21.133333333333333,0.15
al,tuscaloosa,101113,35365,1.875,4.0,17.375,0.16666666666666666
al,talladega,15291,30917,1.9137931034482758,4.017241379310345,14.431034482758621,0.1870967741935484
al,butler,1739,32862,2.0,3.875,4.25,0.36363636363636365
al,mobile,189572,34661,1.793103448275862,3.9310344827586206,9.551724137931034,0.20279720279720279
al,cherokee,1004,31688,1.8333333333333333,4.666666666666667,3.0,0.13636363636363635
al,clay,9646,29443,2.0,3.95,10.3,0.43478260869565216
al,montgomery,198218,39060,1.9615384615384615,3.8461538461538463,9.73076923076923,0.3333333333333333
al,elmore,1441,36665,2.0,3.4375,9.0,0.5714285714285714
al,fayette,4327,30747,2.0,4.25,7.5,0.0625
al,cullman,15858,35144,2.0,4.0,3.5,0.25
al,geneva,4335,30997,2.0,3.8181818181818183,11.363636363636363,0.5
al,jackson,4742,32986,2.0,3.8333333333333335,28.0,0.6
al,madison,50440,45274,1.8666666666666667,3.7,11.466666666666667,0.12396694214876033
al,marion,3252,29422,1.631578947368421,2.973684210526316,9.789473684210526,0.25333333333333335
al,franklin,126,30044,1.9393939393939394,3.772727272727273,10.151515151515152,0.22758620689655173
ar,lonoke,4262,35564,2.0,4.214285714285714,5.857142857142857,0.1111111111111111
ar,washington,167,35135,1.875,3.1875,3.25,0.8
ar,van buren,23691,29374,1.5,5.0,2.0,0.16666666666666666
ar,searcy,23768,26785,2.0,3.6666666666666665,2.3333333333333335,0.3333333333333333
ar,perry,274,31447,1.9285714285714286,4.214285714285714,7.285714285714286,0.1308411214953271
ar,madison,696,32411,1.9565217391304348,4.065217391304348,25.347826086956523,0.23711340206185566
ar,lincoln,2474,24404,1.8421052631578947,4.2105263157894735,9.842105263157896,0.20430107526881722
ar,marion,12364,27465,1.8,4.0,20.1,0.3125
ar,garland,239,35645,1.9411764705882353,4.147058823529412,21.352941176470587,0.16666666666666666
ar,benton,36403,74292,1.6666666666666667,3.1666666666666665,3.3333333333333335,0.1875
ar,bradley,528,34423,1.8571428571428572,3.642857142857143,8.857142857142858,0.2
ar,conway,66426,36965,1.8,4.15,7.5,0.3225806451612903
ar,johnson,3736,27625,1.8888888888888888,4.5,17.22222222222222,0.25
ar,franklin,191,31801,2.0,4.5,5.0,0.1
ar,fulton,194,26383,1.9285714285714286,3.4285714285714284,5.142857142857143,0.6086956521739131
az,pima,2512,38031,1.5,4.75,5.5,0.5
az,maricopa,50024,41197,2.0,3.6363636363636362,57.54545454545455,0.2972972972972973
ca,tulare,64475,37121,1.9166666666666667,3.9583333333333335,33.5,0.25
ca,san diego,1425976,52214,1.7962962962962963,4.518518518518518,121.93518518518519,0.026341463414634145
ca,sonoma,11248,51565,2.0,4.645833333333333,35.0,0.22018348623853212
ca,santa cruz,64725,56549,1.8852459016393444,4.524590163934426,59.622950819672134,0.1685082872928177
ca,santa clara,129488,79055,1.797979797979798,4.328282828282828,96.43434343434343,0.07615384615384616
ca,santa barbara,91350,53758,1.917808219178082,4.287671232876712,55.67123287671233,0.21726190476190477
ca,san mateo,105025,93765,1.889763779527559,4.334645669291339,93.74803149606299,0.1898355754857997
ca,san luis obispo,47446,48532,1.837837837837838,4.513513513513513,51.810810810810814,0.2740740740740741
ca,san joaquin,4032,37643,2.0,4.0,24.666666666666668,0.5
ca,san francisco,883305,99990,1.9009009009009008,4.414414414414415,128.33333333333334,0.031714285714285716
ca,ventura,111128,53031,1.860655737704918,4.163934426229508,45.114754098360656,0.2687224669603524
ca,tehama,421,36005,1.8409090909090908,4.136363636363637,30.795454545454547,0.24175824175824176
ca,sacramento,508529,45187,1.8396226415094339,4.400943396226415,67.4622641509434,0.04608695652173913
ca,riverside,330063,34753,1.8198198198198199,4.36936936936937,79.30630630630631,0.037
ca,alameda,78338,59085,1.8214285714285714,4.410714285714286,97.69047619047619,0.08842105263157894
ca,san bernardino,215941,34320,1.8267716535433072,3.7913385826771653,64.28346456692914,0.2224168126094571
ca,fresno,530093,37434,1.8548387096774193,3.6733870967741935,48.53225806451613,0.2546201232032854
ca,imperial,17695,32890,2.0,4.1,19.4,0.5
ca,los angeles,3990456,52233,1.8346456692913387,4.440944881889764,206.748031496063,0.010672268907563025
ca,colusa,5911,41877,1.6666666666666667,3.8333333333333335,6.0,0.6
ca,merced,83316,35361,1.6,4.3,17.6,0.09090909090909091
ca,monterey,28289,47557,1.7833333333333334,4.3,60.88333333333333,0.242914979757085
ca,napa,79263,59563,1.911764705882353,4.25,48.411764705882355,0.23529411764705882
ca,orange,139484,57165,1.7980769230769231,4.259615384615385,112.0673076923077,0.09454545454545454
ca,madera,65706,35754,1.8571428571428572,3.7244897959183674,51.05102040816327,0.21030042918454936
co,montezuma,68,39527,2.0,4.55,53.0,0.25
co,saguache,504,27918,2.0,4.25,12.125,0.36363636363636365
co,pueblo,111750,33932,1.8333333333333333,4.416666666666667,6.5,0.14634146341463414
co,pitkin,72,126611,2.0,4.166666666666667,14.466666666666667,0.2
co,ouray,1010,51437,2.0,4.75,8.5,0.4
co,montrose,19512,34155,2.0,3.25,8.5,0.2
co,moffat,120,40342,2.0,4.583333333333333,13.833333333333334,0.21428571428571427
co,kiowa,757,52054,1.8953488372093024,4.4476744186046515,34.76744186046512,0.027741935483870966
