,State,City,Pop,PCI,price,rating,review,Total
71,tx,el paso,682669,"31,731",3.142857142857143,3.7857142857142856,16.857142857142858,245.0
72,va,hampton,134313,"39,178",3.0,4.2,16.4,220.0
73,va,newport news,178626,"39,042",3.1363636363636362,3.772727272727273,17.772727272727273,649.0
74,va,norfolk,244076,"37,569",3.1176470588235294,3.6176470588235294,12.823529411764707,530.0
75,va,portsmouth,94632,"37,238",3.0,3.95,13.1,337.0
76,va,roanoke,99920,"39,649",3.0,3.0,9.0,95.0
77,va,richmond,228783,"32,032",3.0,3.8461538461538463,19.46153846153846,608.0
78,va,suffolk,91185,"46,071",3.142857142857143,4.25,10.071428571428571,547.0
79,va,virginia beach,450189,"50,719",3.0588235294117645,3.9411764705882355,18.647058823529413,773.0
80,va,chesapeake,242634,"45,248",3.1,3.9,18.55,769.0
81,va,alexandria,160530,"81,336",3.0952380952380953,4.261904761904762,78.80952380952381,2100.0
82,wa,spokane,219190,"40,028",3.0,4.375,18.875,274.0
83,wi,eau claire,68866,"42,914",3.0,4.5,6.0,41.0
84,wi,waukesha,72549,"62,113",3.25,3.3125,14.625,256.0
85,wi,milwaukee,592025,"42,118",3.0952380952380953,3.857142857142857,20.714285714285715,614.0
