State,City,Pop,PCI,price,rating,review,Price perc
il,champaign,88029,42659,3.0,4.0,227.0,0.002570694087403599
il,dekalb,42611,35809,3.0,4.0,122.0,0.007575757575757576
il,hamilton,2740,41048,4.0,2.5,14.0,0.03571428571428571
il,macon,1120,44811,4.0,2.0,5.0,0.003968253968253968
il,madison,3794,40943,3.3076923076923075,4.0,174.84615384615384,0.007222222222222222
il,douglas,157,45461,3.2222222222222223,3.5555555555555554,286.6666666666667,0.014308426073131956
il,peoria,111388,46148,3.0,3.8,67.2,0.009900990099009901
il,rock island,37678,39842,3.0,3.75,83.5,0.009779951100244499
il,lasalle,9064,39378,3.0,4.0,40.0,0.007194244604316547
il,marion,17620,38112,3.0,4.0,27.0,0.010869565217391304
il,wayne,66483,40354,3.0,3.8125,231.875,0.005333333333333333
il,de witt,461,48628,4.0,2.0,5.0,0.0030581039755351682
il,cass,601,38103,3.0,3.5,3.0,0.010752688172043012
il,pope,214,26405,3.0,3.625,13.5,0.018604651162790697
il,edgar,449,37073,3.0,4.25,10.0,0.09090909090909091
il,will,1805,45465,3.0,3.5,228.0,0.00881057268722467
il,jefferson,255,35726,3.0,4.0,74.0,0.01639344262295082
il,greene,1543,34501,3.0,4.5,2.0,0.14285714285714285
il,sangamon,2333,43441,3.25,3.125,39.25,0.010723860589812333
in,vigo,3964,34509,3.0,3.875,44.0,0.020833333333333332
in,steuben,2859,36506,3.0,3.5,21.5,0.03125
in,floyd,4051,47171,3.0,4.0,1.0,0.004405286343612335
in,porter,4825,45101,3.0,2.5,7.0,0.011494252873563218
in,marion,28047,46320,4.0,4.0,5.0,0.013157894736842105
in,lawrence,49046,34913,3.0,4.25,396.5,0.002352941176470588
in,hamilton,1580,64213,3.0,3.5,7.0,0.007905138339920948
in,fulton,318,36386,3.0,3.5,37.0,0.017341040462427744
in,elkhart,52367,38511,3.5,4.0,57.75,0.012269938650306749
in,brown,2647,40633,3.25,3.625,479.75,0.002857142857142857
in,cass,338,34954,3.0,3.5,16.0,0.0196078431372549
in,benton,3128,39432,3.0,3.5,52.0,0.003389830508474576
in,miami,1273,31354,3.210526315789474,3.8421052631578947,517.578947368421,0.005757575757575757
in,jackson,532,38888,3.0,3.0,2.0,0.07692307692307693
in,lake,2433,38485,3.0,4.166666666666667,211.66666666666666,0.009523809523809525
in,clay,3540,33864,3.0,4.0,337.3333333333333,0.02459016393442623
in,st. joseph,75633,41274,3.0,4.0,116.5,0.006622516556291391
in,ohio,1930,35220,3.0,4.0,110.5,0.004158004158004158
ks,sheridan,212,52677,3.0,3.5,3.0,0.058823529411764705
ks,pottawatomie,197,48438,3.0,4.5,23.0,0.006211180124223602
ks,comanche,438,38696,3.0,4.5,6.0,0.008
ks,douglas,108,37883,3.0,3.8,78.6,0.005246589716684155
ks,wabaunsee,521,45431,3.0,4.5,23.0,0.005952380952380952
ks,sumner,157,36574,3.0,4.5,7.0,0.058823529411764705
ks,reno,1506,36148,3.0,4.5,3.0,0.00847457627118644
ks,kiowa,941,31897,3.0,4.5,6.0,0.038461538461538464
ks,allen,174,36328,3.3333333333333335,4.333333333333333,41.0,0.0047694753577106515
ks,wichita,389255,83074,3.0,3.7,135.4,0.00625
ks,shawnee,65845,41498,3.0,4.2272727272727275,188.1818181818182,0.005789473684210527
ks,sedgwick,1641,50815,3.0,5.0,22.0,0.011904761904761904
ks,meade,1565,55983,3.0,1.0,2.0,0.09090909090909091
ks,osborne,1291,42878,3.0,4.0,8.0,0.00684931506849315
ky,union,5930,33296,3.0,3.1666666666666665,111.33333333333333,0.005145797598627788
ky,jefferson,27997,44719,3.090909090909091,4.045454545454546,208.63636363636363,0.008461538461538461
ky,henderson,28432,36154,3.0,4.0,49.0,0.004750593824228029
ky,hardin,610,38575,3.0,4.0,8.333333333333334,0.008426966292134831
ky,carlisle,1959,42485,3.0,4.0,287.0,0.004329004329004329
la,lafayette,126143,53215,3.0,3.6,30.8,0.007987220447284345
la,jackson,3725,32037,3.0,3.5,15.0,0.006134969325153374
la,franklin,6786,27693,3.0,4.0,8.0,0.05263157894736842
la,natchitoches,17831,33525,3.0,4.0,56.0,0.016129032258064516
ma,essex,3789,57540,3.0,3.5,3.0,0.05263157894736842
ma,plymouth,60803,56571,3.3333333333333335,3.3333333333333335,194.66666666666666,0.011538461538461539
ma,hampden,5220,44760,3.0,3.9,80.2,0.00764525993883792
ma,worcester,185877,49121,3.0,3.875,223.5,0.004956629491945477
ma,nantucket,11327,106895,3.2857142857142856,3.75,102.07142857142857,0.16666666666666666
md,baltimore,602495,53832,3.076923076923077,3.8846153846153846,463.46153846153845,0.00393939393939394
md,frederick,72146,53601,3.0,4.0,373.0,0.0048543689320388345
md,somerset,1280,29709,3.5,4.25,164.0,0.05405405405405406
me,york,13151,44437,3.0,3.6666666666666665,180.66666666666666,0.023872679045092837
me,cumberland,8165,51659,3.111111111111111,3.7222222222222223,154.77777777777777,0.02857142857142857
me,franklin,1547,35108,3.0,4.5,30.0,0.03508771929824561
me,hancock,2415,44349,3.0,3.9,63.8,0.03597122302158273
me,oxford,4101,33163,3.0,4.0,22.0,0.018518518518518517
me,knox,792,42538,3.0,4.5,35.0,0.05555555555555555
me,waldo,860,36097,3.0,4.5,35.0,0.022222222222222223
mi,macomb,90758,40077,3.0,3.0,77.5,0.0016666666666666668
mi,iosco,3847,32125,3.0,4.0,5.0,0.005747126436781609
mi,leelanau,2025,61797,3.1666666666666665,4.416666666666667,132.66666666666666,0.015424164524421594
mi,ingham,2524,35503,3.0,3.5,32.0,0.015873015873015872
mi,antrim,2095,39601,3.0,3.5,33.0,0.047619047619047616
mi,chippewa,211,29311,3.0,3.5,22.0,0.016666666666666666
mi,charlevoix,2499,43027,3.0,4.0,113.0,0.0625
mi,berrien,5027,40046,3.2,3.9,65.8,0.0019230769230769232
mi,cheboygan,4712,33728,3.0,4.0,19.0,0.038461538461538464
mi,hillsdale,8049,31050,3.0,4.5,38.0,0.02631578947368421
mi,kalamazoo,76545,41547,3.5,3.25,35.0,0.004098360655737705
mi,marquette,20680,35194,4.0,3.5,83.0,0.012658227848101266
mi,menominee,8108,37545,3.0,4.5,49.0,0.015384615384615385
mi,alcona,913,32714,3.0,4.0,18.0,0.012195121951219513
mi,baraga,3595,29722,3.0,3.5,6.0,0.06666666666666667
mi,saginaw,48323,34086,3.0,3.5,8.0,0.0035714285714285713
mi,monroe,19715,39996,4.0,4.5,7.0,0.008333333333333333
mn,douglas,755,47165,3.0,4.125,91.5,0.01486988847583643
mn,crow wing,2092,39815,3.0,4.5,17.5,0.025974025974025976
mn,clay,75,39771,3.0,3.75,155.5,0.004784688995215311
mn,kanabec,932,36612,3.0,1.5,6.0,0.0625
mn,washington,739,57716,3.25,4.0,82.75,0.01
mn,sibley,252,43743,3.0,4.0,204.375,0.006153846153846154
mn,scott,145,51927,3.0,3.5,40.0,0.02702702702702703
mn,winona,26813,43901,3.0,3.5,26.0,0.016129032258064516
mn,anoka,17543,44544,3.2,3.4,16.4,0.008503401360544218
mn,beltrami,102,36353,3.0,3.625,24.75,0.021621621621621623
mn,cottonwood,1245,45729,4.0,3.75,14.5,0.012738853503184714
mn,dakota,308,52542,3.25,4.125,95.0,0.01834862385321101
mn,freeborn,276,39340,3.0,3.5,5.0,0.014705882352941176
mn,grant,4152,47075,3.0,4.142857142857143,117.28571428571429,0.008760951188986232
mo,osage,1714,42259,3.0,4.25,35.5,0.011428571428571429
mo,st. louis,302838,61078,3.142857142857143,4.178571428571429,222.42857142857142,0.00875
mo,st. charles,70764,46189,3.0,3.95,138.6,0.007692307692307693
mo,marion,222,36467,3.0,3.0,30.0,0.007142857142857143
mo,jefferson,502,36892,3.0,3.0,30.0,0.006578947368421052
mo,cape girardeau,39853,39642,3.0,4.5,53.0,0.013986013986013986
mo,jasper,965,35333,3.5,4.0,12.5,0.005509641873278237
mo,holt,475,46764,3.0,5.0,6.0,0.014285714285714285
ms,grenada,12466,31056,3.0,3.5,14.0,0.02631578947368421
ms,jackson,164422,34845,3.0,4.5,55.0,0.002544529262086514
ms,tunica,916,30581,3.0,4.0,38.0,0.03125
mt,missoula,74428,40858,3.0,4.5,3.0,0.004347826086956522
mt,sheridan,750,57613,3.0,5.0,20.0,0.1111111111111111
mt,cascade,685,41893,3.0,4.0,19.0,0.006060606060606061
nc,rockingham,8776,33261,3.0,4.5,3.0,0.0196078431372549
nc,beaufort,4391,37538,3.25,4.5,107.25,0.05333333333333334
nc,cleveland,881,32809,3.0,4.0,490.0,0.003076923076923077
nc,davidson,12921,34484,3.3333333333333335,3.8333333333333335,118.5,0.007050528789659225
nc,durham,274291,43817,3.0,3.5833333333333335,118.16666666666667,0.008053691275167786
nc,franklin,4042,31256,4.0,3.5,21.0,0.016666666666666666
nd,williams,15,102808,4.0,2.5,9.0,0.011235955056179775
nd,steele,710,59264,4.0,1.0,1.0,0.0625
nd,renville,31,55901,3.0,4.0,6.0,0.007874015748031496
nd,richland,18,43573,3.0,3.0,38.0,0.005649717514124294
nd,oliver,10,46166,3.0,4.0,42.0,0.005025125628140704
nd,grant,105,40458,3.0,3.8333333333333335,76.0,0.01694915254237288
nd,mountrail,32,72079,3.0,3.25,9.0,0.06060606060606061
nd,burke,41,87338,3.0,4.0,6.0,0.02702702702702703
nd,ward,54,58394,3.0,4.0,6.0,0.006993006993006993
nd,billings,12,94629,3.0,4.0,29.333333333333332,0.04225352112676056
nd,barnes,21,49276,3.0,4.5,102.0,0.005952380952380952
nd,morton,45,50815,3.0,3.8333333333333335,64.66666666666667,0.016853932584269662
nd,mckenzie,99,81696,3.0,3.8333333333333335,76.0,0.016483516483516484
nd,grand forks,56948,46131,3.0,3.6666666666666665,29.666666666666668,0.0234375
nd,logan,37,53088,3.0,4.0,96.0,0.009259259259259259
ne,franklin,942,42262,3.0,4.0,31.0,0.06666666666666667
ne,lincoln,287401,46012,3.0,3.6666666666666665,59.333333333333336,0.0051635111876075735
ne,blaine,193,76590,4.0,4.0,4.0,0.05263157894736842
ne,logan,71,52193,4.0,4.0,4.0,0.011235955056179775
ne,dawes,352,36465,3.0,4.5,9.0,0.041666666666666664
ne,douglas,202,57890,3.0,3.75,105.5,0.0032948929159802307
ne,custer,103,50971,4.0,4.0,4.0,0.07692307692307693
nh,sullivan,675,45755,3.0,4.5,127.0,0.011235955056179775
nh,carroll,742,50020,4.0,4.0,25.0,0.037037037037037035
nh,grafton,1336,52320,4.0,5.0,27.0,0.06666666666666667
nh,merrimack,25969,51831,3.0,3.75,151.0,0.005390835579514825
nj,warren,15745,49188,3.0,3.25,143.5,0.007104795737122558
nj,ocean,26708,44949,3.1,3.8,132.8,0.017513134851138354
nj,union,5525,59230,3.1875,3.90625,176.5,0.009411764705882352
nj,burlington,9884,53760,3.0,3.5,67.0,0.0027100271002710027
nj,morris,19145,84260,3.1666666666666665,3.9166666666666665,310.0,0.010135135135135136
nj,cape may,3448,51473,3.111111111111111,3.888888888888889,184.33333333333334,0.026239067055393587
nj,camden,73973,46905,3.04,4.18,408.52,0.0078125
nj,passaic,69948,45746,3.5,3.5,51.0,0.002936857562408223
nj,gloucester,63884,47392,3.1666666666666665,4.083333333333333,243.77777777777777,0.00782608695652174
nm,santa fe,84612,50557,3.111111111111111,3.9444444444444446,193.44444444444446,0.024128686327077747
nm,taos,5971,33342,3.0,3.75,118.0,0.02127659574468085
nv,carson city,55414,42537,3.0,4.0,40.0,0.005376344086021506
ny,lewis,1306,41061,3.0,4.5,3.0,0.125
ny,putnam,576,57163,3.0,3.8333333333333335,194.0,0.015957446808510637
ny,columbia,1517,48801,3.0,3.75,173.5,0.002
ny,essex,636,39500,3.0,4.5,37.0,0.028169014084507043
ny,washington,4613,35304,3.0,3.9166666666666665,75.83333333333333,0.047244094488188976
ny,franklin,2257,33508,3.0,4.0,5.0,0.005263157894736842
ny,livingston,3473,36686,3.25,3.75,129.75,0.018957345971563982
ny,greene,5084,41786,4.0,4.5,14.0,0.1111111111111111
ny,schuyler,3329,38118,3.5,4.5,134.0,0.007168458781362007
ny,chautauqua,4256,36101,3.0,3.0,17.0,0.14285714285714285
ny,chenango,10596,36583,3.5,4.0,58.5,0.005194805194805195
ny,schenectady,65575,45851,3.1,3.8,85.3,0.010070493454179255
ny,rensselaer,9212,42725,3.0,3.625,123.75,0.008385744234800839
ny,oneida,10912,38764,3.5,4.5,50.0,0.029411764705882353
ny,new york,8398748,151128,3.15,4.1,1061.25,0.0010638297872340426
ny,albany,97279,53791,3.0,3.875,144.5,0.003076923076923077
