Pop,PCI,cat,price,rating,review
8398748,151128,Filipino,2,4.5,95
8398748,151128,Greek,3,4.5,468
8398748,151128,Pizza,2,4.0,138
8398748,151128,Mexican,2,4.5,221
8398748,151128,Chinese,2,4.0,1179
8398748,151128,Noodles,2,4.0,1031
8398748,151128,Mexican,2,4.0,614
8398748,151128,American (New),2,4.0,280
8398748,151128,Chinese,2,4.5,80
8398748,151128,Shanghainese,2,4.5,210
8398748,151128,Chinese,1,4.5,843
8398748,151128,Pizza,2,3.5,4599
8398748,151128,Italian,2,4.5,458
8398748,151128,Brazilian,4,4.0,1372
8398748,151128,Vietnamese,2,4.0,468
8398748,151128,Thai,2,3.5,572
8398748,151128,Bars,2,4.0,260
8398748,151128,Seafood,2,4.0,303
8398748,151128,Noodles,2,4.5,229
8398748,151128,Italian,2,3.5,195
8398748,151128,Brazilian,2,4.0,1377
8398748,151128,Burmese,1,4.5,56
8398748,151128,Greek,3,4.0,314
8398748,151128,Italian,2,4.0,947
8398748,151128,Italian,2,3.5,313
8398748,151128,Dominican,2,4.0,455
8398748,151128,Seafood,3,4.5,1279
8398748,151128,American (New),4,4.0,169
8398748,151128,Italian,2,4.0,254
8398748,151128,Greek,2,4.0,127
8398748,151128,Italian,2,4.0,219
8398748,151128,Mexican,2,4.5,179
8398748,151128,Bars,2,4.0,56
8398748,151128,Latin American,2,4.0,323
8398748,151128,Party & Event Planning,2,4.0,86
8398748,151128,Japanese,3,4.0,1783
8398748,151128,Thai,2,4.0,870
8398748,151128,Hawaiian,2,4.5,760
8398748,151128,Pizza,2,4.0,949
8398748,151128,Mexican,2,3.5,850
8398748,151128,Brazilian,2,4.5,295
8398748,151128,Tacos,1,5.0,34
8398748,151128,Italian,2,4.0,137
8398748,151128,Ramen,2,4.0,1637
8398748,151128,Southern,2,3.5,1747
8398748,151128,Food Trucks,1,5.0,69
8398748,151128,Korean,2,3.0,314
8398748,151128,Salvadoran,2,4.5,179
8398748,151128,Breakfast & Brunch,2,4.0,3149
8398748,151128,Dim Sum,2,3.5,1709
8398748,151128,Tapas Bars,2,4.0,701
8398748,151128,Korean,2,4.5,30
8398748,151128,Taiwanese,1,4.5,73
8398748,151128,Bars,2,3.5,156
8398748,151128,German,2,4.0,460
8398748,151128,American (New),2,4.0,1601
8398748,151128,Hot Pot,2,4.0,148
8398748,151128,Latin American,2,3.5,1174
8398748,151128,Chinese,2,4.0,271
8398748,151128,Izakaya,2,4.5,79
8398748,151128,Bars,2,4.0,44
8398748,151128,American (Traditional),2,4.0,291
8398748,151128,Japanese,2,4.0,1753
8398748,151128,Thai,2,4.0,1002
8398748,151128,Korean,2,4.0,426
8398748,151128,Thai,2,4.5,88
8398748,151128,Kebab,2,4.5,68
8398748,151128,Chinese,2,4.0,646
8398748,151128,Mediterranean,2,4.0,246
8398748,151128,Cinema,2,4.0,208
