,State,City,Pop,PCI,price,rating,review,Total,PP
143,ia,carroll,9812,49617,1.5,3.5357142857142856,9.428571428571429,24.0,0.0024459845087647777
144,ia,dubuque,57941,42870,1.543859649122807,3.3859649122807016,43.1578947368421,180.0,0.003106608446523187
145,ia,humboldt,4589,45629,1.6666666666666667,3.3333333333333335,8.666666666666666,11.0,0.002397036391370669
146,ia,muscatine,23817,42450,1.6923076923076923,4.3076923076923075,18.53846153846154,66.0,0.0027711298652223202
147,ia,keokuk,10274,42783,1.3529411764705883,3.823529411764706,16.470588235294116,21.0,0.0020439945493478683
148,ia,audubon,1912,46872,1.0,4.166666666666667,6.666666666666667,6.0,0.0031380753138075313
149,ia,webster,71,42161,1.5,4.15,19.8,38.0,0.5352112676056338
150,ia,washington,7309,51235,1.5,3.4166666666666665,10.75,16.0,0.0021890819537556437
151,ia,wapello,2026,34477,1.0,4.75,10.25,11.0,0.005429417571569595
152,ia,union,382,37907,1.28,3.88,15.48,110.0,0.2879581151832461
153,ia,tama,2745,40729,1.5,3.5,2.5,9.0,0.003278688524590164
154,ia,shelby,616,50283,1.4285714285714286,3.5714285714285716,13.5,28.0,0.045454545454545456
155,ia,jefferson,4148,37397,1.1666666666666667,4.25,4.333333333333333,10.0,0.0024108003857280617
156,ia,pocahontas,1663,51035,2.0,3.6666666666666665,2.3333333333333335,7.0,0.004209260372820205
157,ia,osceola,5193,57030,1.2,2.75,17.9,13.0,0.002503369921047564
158,ia,monroe,1874,38175,1.5,3.9642857142857144,22.142857142857142,34.0,0.01814300960512273
159,ia,monona,1477,43238,1.25,4.5,6.0,9.0,0.006093432633716994
160,ia,mitchell,131,57565,1.5,3.8125,6.625,12.0,0.0916030534351145
161,ia,marshall,27068,38463,1.5,4.125,21.1875,53.0,0.001958031624057928
162,ia,marion,39979,40851,1.5625,3.40625,38.175,306.0,0.00765401835963881
163,ia,lucas,209,37890,1.5555555555555556,4.055555555555555,24.555555555555557,54.0,0.2583732057416268
164,ia,plymouth,363,52006,1.625,4.171875,22.65625,117.0,0.32231404958677684
165,ia,adair,704,45386,1.0,3.75,22.5,5.0,0.007102272727272727
166,id,boise,228790,36229,1.6956521739130435,3.816425120772947,127.56038647342996,931.0,0.004069233795183356
167,id,twin falls,49764,35300,1.5333333333333334,3.466666666666667,65.64444444444445,142.0,0.00285346837070975
168,id,jerome,11807,37126,1.3,4.05,14.5,30.0,0.002540865588210384
169,id,payette,7527,35582,1.4285714285714286,4.178571428571429,39.42857142857143,73.0,0.009698419024843896
170,id,gooding,3473,58373,1.3333333333333333,4.166666666666667,7.333333333333333,5.0,0.0014396775122372588
171,id,franklin,828,32130,1.25,2.75,9.75,10.0,0.012077294685990338
172,id,shoshone,1511,33851,1.4175824175824177,3.565934065934066,33.714285714285715,342.0,0.22634017207147583
173,id,teton,733,31214,1.4666666666666666,3.6333333333333333,57.3,102.0,0.13915416098226466
174,id,kootenai,922,38416,1.6,4.2,45.0,5.0,0.005422993492407809
175,id,minidoka,113,35533,1.4,3.9,45.1,74.0,0.6548672566371682
176,il,scott,1235,37014,1.4,3.8,16.4,11.0,0.008906882591093117
177,il,franklin,2473,34652,1.457142857142857,3.2142857142857144,41.65714285714286,347.0,0.14031540638900122
178,il,union,677,37679,1.5714285714285714,3.892857142857143,41.285714285714285,27.0,0.03988183161004431
179,il,montgomery,637,33349,1.4105263157894736,3.4105263157894736,51.305263157894736,296.0,0.46467817896389324
180,il,morgan,345,36602,1.75,3.75,19.416666666666668,42.0,0.12173913043478261
181,il,lake,941,68199,1.9211822660098523,4.236453201970443,558.0049261083744,15400.0,16.365568544102018
182,il,wabash,2152,41797,1.2222222222222223,3.388888888888889,5.666666666666667,14.0,0.006505576208178439
183,il,champaign,88029,42659,1.4307692307692308,3.3461538461538463,85.42307692307692,389.0,0.004418998284656193
184,il,clinton,6927,42048,1.0714285714285714,3.3214285714285716,10.928571428571429,24.0,0.0034647033347769596
185,il,dekalb,42611,35809,1.44,3.46,54.54,132.0,0.003097791650043416
186,il,effingham,12627,43646,1.5,4.107142857142857,106.85714285714286,61.0,0.004830917874396135
187,il,fulton,3346,33854,1.3571428571428572,4.0,26.857142857142858,66.0,0.01972504482964734
188,il,hamilton,2740,41048,1.4666666666666666,4.033333333333333,18.8,28.0,0.010218978102189781
189,il,henry,2232,42246,1.2,2.7,4.8,7.0,0.0031362007168458782
190,il,johnson,644,30786,1.0,3.5714285714285716,14.857142857142858,9.0,0.013975155279503106
191,il,kankakee,26052,36138,1.3035714285714286,3.4375,32.07142857142857,142.0,0.0054506371871641335
192,il,mchenry,27022,48027,1.5714285714285714,3.4489795918367347,73.79591836734694,155.0,0.005736066908444971
193,il,macon,1120,44811,1.390625,3.2890625,14.578125,252.0,0.225
194,il,madison,3794,40943,1.8412698412698412,4.116402116402116,227.94179894179894,1800.0,0.47443331576172904
195,il,douglas,157,45461,1.65625,3.5572916666666665,258.7083333333333,629.0,4.006369426751593
196,il,marshall,3843,42080,1.0769230769230769,3.3461538461538463,6.923076923076923,19.0,0.004944054124381993
197,il,mason,335,38936,1.2903225806451613,3.8870967741935485,45.38709677419355,91.0,0.2716417910447761
198,il,peoria,111388,46148,1.5104895104895104,3.4195804195804196,44.44055944055944,505.0,0.004533702014579668
199,il,rock island,37678,39842,1.4566929133858268,3.484251968503937,40.24409448818898,409.0,0.010855140931047296
200,il,washington,16704,46128,1.5,3.857142857142857,24.214285714285715,63.0,0.003771551724137931
201,il,boone,1934,40608,1.411764705882353,4.0588235294117645,28.352941176470587,69.0,0.035677352637021716
202,il,lee,308,37889,1.0,4.0,8.5,7.0,0.022727272727272728
203,il,bureau,233,39270,1.3333333333333333,4.666666666666667,9.333333333333334,5.0,0.02145922746781116
204,il,brown,2054,29522,1.25,4.125,10.25,9.0,0.004381694255111977
205,il,lasalle,9064,39378,1.574468085106383,3.7127659574468086,45.723404255319146,139.0,0.015335392762577229
206,il,marion,17620,38112,1.46875,3.484375,34.15625,92.0,0.005221339387060159
207,il,wayne,66483,40354,1.729064039408867,3.9458128078817736,185.16748768472905,1500.0,0.022562158747348945
208,il,winnebago,5098,38275,1.2,2.8,12.0,6.0,0.0011769321302471558
209,il,richland,363,39787,1.4615384615384615,3.9615384615384617,10.23076923076923,27.0,0.0743801652892562
210,il,adams,1567,40921,1.4,3.05,19.2,12.0,0.007657945118059987
211,il,knox,4794,36417,1.3846153846153846,3.423076923076923,11.76923076923077,17.0,0.0035460992907801418
212,il,de witt,461,48628,1.3518518518518519,3.3518518518518516,29.814814814814813,327.0,0.7093275488069414
213,il,kendall,8946,43074,1.6129032258064515,3.629032258064516,66.74193548387096,96.0,0.010731052984574111
214,il,warren,1479,36696,1.6363636363636365,3.9545454545454546,22.0,23.0,0.01555104800540906
215,il,bond,619,32859,1.3333333333333333,3.533333333333333,18.666666666666668,23.0,0.03715670436187399
216,il,jersey,9823,36597,1.0714285714285714,3.3214285714285716,6.214285714285714,22.0,0.0022396416573348264
217,il,hancock,239,42145,1.1111111111111112,3.888888888888889,6.555555555555555,12.0,0.0502092050209205
218,il,kane,926,44432,1.0,3.1,7.4,14.0,0.01511879049676026
219,il,cass,601,38103,1.5909090909090908,3.8863636363636362,8.863636363636363,93.0,0.15474209650582363
220,il,pope,214,26405,1.56,3.56,30.18,215.0,1.0046728971962617
221,il,jackson,1203,33046,1.1428571428571428,3.107142857142857,18.928571428571427,18.0,0.014962593516209476
222,il,edgar,449,37073,1.6153846153846154,3.6153846153846154,8.23076923076923,22.0,0.04899777282850779
223,il,iroquois,581,40167,1.3,3.5,7.6,15.0,0.025817555938037865
224,il,lawrence,6355,32979,1.2857142857142858,3.142857142857143,7.428571428571429,17.0,0.0026750590086546027
225,il,henderson,1088,39188,1.4545454545454546,4.318181818181818,42.81818181818182,64.0,0.058823529411764705
226,il,pike,225,39140,1.3333333333333333,2.6666666666666665,5.0,6.0,0.02666666666666667
227,il,will,1805,45465,1.5591397849462365,3.225806451612903,78.68817204301075,227.0,0.1257617728531856
228,il,fayette,255,31527,1.3076923076923077,3.730769230769231,11.538461538461538,22.0,0.08627450980392157
229,il,jasper,1722,42512,1.6666666666666667,3.0,4.666666666666667,9.0,0.005226480836236934
230,il,carroll,578,40981,1.2857142857142858,3.357142857142857,16.142857142857142,9.0,0.015570934256055362
231,il,jefferson,255,35726,1.7333333333333334,3.933333333333333,40.06666666666667,61.0,0.23921568627450981
232,il,perry,574,34612,1.4545454545454546,4.2727272727272725,11.272727272727273,57.0,0.09930313588850175
233,il,hardin,204,34034,1.5,4.625,8.0,11.0,0.05392156862745098
234,il,st. clair,35047,39740,1.375,3.3958333333333335,48.4375,138.0,0.00393756954946215
235,il,logan,3104,35205,1.4545454545454546,4.363636363636363,27.363636363636363,39.0,0.012564432989690722
236,il,monroe,1485,50446,1.5833333333333333,3.6666666666666665,38.583333333333336,29.0,0.019528619528619527
237,il,mercer,3872,40702,1.3333333333333333,3.5833333333333335,5.166666666666667,11.0,0.002840909090909091
238,il,greene,1543,34501,1.3333333333333333,3.6666666666666665,5.333333333333333,7.0,0.004536616979909268
239,il,saline,6278,36996,1.6363636363636365,3.772727272727273,12.181818181818182,39.0,0.006212169480726346
240,il,randolph,4447,32226,1.1666666666666667,3.6666666666666665,5.666666666666667,10.0,0.00224870699347875
241,il,sangamon,2333,43441,1.560747663551402,3.2663551401869158,57.32710280373832,373.0,0.15987998285469351
242,in,ripley,985,37430,1.3333333333333333,3.625,10.416666666666666,21.0,0.02131979695431472
243,in,vigo,3964,34509,1.4242424242424243,3.356060606060606,37.15151515151515,192.0,0.04843592330978809
244,in,scott,1721,33426,1.3793103448275863,3.8793103448275863,24.724137931034484,102.0,0.05926786751888437
245,in,allen,670,40471,1.3666666666666667,3.397222222222222,38.833333333333336,530.0,0.7910447761194029
246,in,randolph,4170,35269,1.1428571428571428,4.321428571428571,13.928571428571429,31.0,0.007434052757793765
247,in,clark,2715,40151,1.3823529411764706,3.573529411764706,30.5,103.0,0.03793738489871087
248,in,hendricks,1276,42937,1.3541666666666667,3.2604166666666665,36.645833333333336,132.0,0.10344827586206896
249,in,steuben,2859,36506,1.7777777777777777,3.888888888888889,44.888888888888886,64.0,0.022385449457852397
250,in,vermillion,877,35532,1.4,3.5,6.6,8.0,0.009122006841505131
251,in,fayette,2600,35734,1.2222222222222223,2.6666666666666665,14.555555555555555,14.0,0.005384615384615384
252,in,gibson,1168,40959,1.6,4.1,12.4,48.0,0.0410958904109589
253,in,floyd,4051,47171,1.323943661971831,3.295774647887324,30.239436619718308,227.0,0.05603554677857319
254,in,shelby,1129,39033,1.4615384615384615,4.076923076923077,19.153846153846153,61.0,0.054030115146147036
255,in,pike,875,36602,1.2727272727272727,3.3636363636363638,24.939393939393938,76.0,0.08685714285714285
256,in,greene,968,34568,1.2857142857142858,4.035714285714286,9.071428571428571,34.0,0.03512396694214876
257,in,washington,12149,33987,1.5833333333333333,4.0,12.75,31.0,0.0025516503415919005
258,in,warren,1209,42455,1.0,4.0,12.0,5.0,0.0041356492969396195
259,in,wabash,10054,38314,1.5,3.7083333333333335,21.083333333333332,33.0,0.0032822757111597373
260,in,tipton,5104,40206,1.2222222222222223,2.8333333333333335,8.11111111111111,13.0,0.0025470219435736676
261,in,sullivan,4097,31374,1.4545454545454546,3.6363636363636362,6.2727272727272725,21.0,0.005125701732975348
262,in,spencer,2248,39496,1.2307692307692308,3.1923076923076925,11.538461538461538,18.0,0.00800711743772242
263,in,porter,4825,45101,1.6470588235294117,3.573529411764706,59.76470588235294,87.0,0.018031088082901554
264,in,morgan,976,39004,1.5833333333333333,4.041666666666667,33.5,45.0,0.04610655737704918
265,in,montgomery,347,37697,1.25,4.0,10.75,5.0,0.01440922190201729
266,in,monroe,879,35012,1.0,3.8333333333333335,4.833333333333333,8.0,0.009101251422070534
267,in,marshall,319,36406,1.1666666666666667,3.0,10.166666666666666,8.0,0.025078369905956112
268,in,marion,28047,46320,1.4666666666666666,3.1166666666666667,12.566666666666666,76.0,0.002709737226797875
269,in,madison,11879,33764,1.411764705882353,4.147058823529412,46.23529411764706,52.0,0.0043774728512501054
270,in,lawrence,49046,34913,1.7560975609756098,4.117073170731707,200.59024390243903,1700.0,0.034661338335440196
271,in,knox,3535,41101,1.4545454545454546,3.0454545454545454,9.727272727272727,18.0,0.005091937765205092
272,in,jasper,15568,40597,1.7272727272727273,3.9545454545454546,40.81818181818182,53.0,0.0034044193216855086
273,in,huntington,17019,37086,1.4666666666666666,3.9,26.8,37.0,0.0021740407779540514
274,in,hamilton,1580,64213,1.5064935064935066,3.6298701298701297,19.337662337662337,253.0,0.160126582278481
275,in,fulton,318,36386,1.627906976744186,3.895348837209302,19.58139534883721,173.0,0.5440251572327044
276,in,franklin,25248,40595,1.2580645161290323,3.3225806451612905,27.741935483870968,80.0,0.0031685678073510772
277,in,elkhart,52367,38511,1.4594594594594594,3.265765765765766,30.873873873873872,326.0,0.006225294555731663
278,in,decatur,9843,38304,1.5,3.375,14.6875,28.0,0.00284466118053439
279,in,clinton,4717,34936,1.3333333333333333,2.5555555555555554,5.777777777777778,14.0,0.002967988128047488
280,in,wayne,952,36972,1.6153846153846154,3.9615384615384617,46.38461538461539,61.0,0.06407563025210083
281,in,jefferson,1131,37002,1.625,3.5625,16.25,30.0,0.026525198938992044
282,in,lagrange,2748,34987,1.25,3.5,13.625,13.0,0.004730713245997089
